image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 1.0 0 0 1 1
004f33259ee4aef671c2b95d54e4be68,14 0.8999999761581421 0 0 1 1 8 0.0016601600000000002 1970 2511 2215 2718 11 0.00128555 1691 340 1861 485
008bdde2af2462e86fd373a445d0f4cd,0 0.829150915145874 1433 825 1733 1182 3 0.7617577314376831 1097 1418 1933 1793 2 0.06495986878871918 1613 875 1679 960 11 0.05955944210290909 1720 470 1902 577 13 0.019802220165729523 2006 1412 2107 1454 2 0.0120605 1487 847 1717 1083 13 0.007058480000000001 882 664 1035 717 11 0.0064308298751711845 1586 463 1864 549 7 0.005551420152187347 1181 525 1323 1016 13 0.0041290300000000005 972 667 1105 816 11 0.0018554700000000001 1942 638 2054 768
009bc039326338823ca3aa84381f17f1,14 0.8999999761581421 0 0 1 1 9 0.00102615 1943 1187 1971 1220
00a2145de1886cb9eb88869c85d74080,3 0.7921957969665527 781 1291 1866 1642 0 0.6470831036567688 1121 711 1352 934 13 0.1598205417394638 544 1294 770 1402 11 0.08120368421077728 1483 391 1612 506 2 0.050384361296892166 1307 760 1345 832 11 0.0498475506901741 597 370 746 470 11 0.013901820406317711 1275 376 1517 435 11 0.012686340138316154 684 358 956 442 13 0.00590295996516943 823 525 868 678 2 0.0041824402287602425 1225 723 1348 891 7 0.00255127 772 336 980 473 9 0.0011006800000000001 2061 421 2136 964
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.6509337425231934 1097 1428 2093 1970 0 0.5827553272247314 1251 826 1674 1177 8 0.2829612195491791 1124 555 1415 1013 5 0.1838167905807495 712 1066 1163 1851 7 0.12049044668674469 787 1469 1162 1847 7 0.09108468145132065 1126 531 1389 1069 2 0.0649147629737854 1526 939 1648 1083 5 0.04580586403608322 1640 789 2170 1911 13 0.034002359956502914 755 1396 997 1506 2 0.028960678726434708 1315 826 1667 1138 0 0.019177841022610664 1435 1070 1681 1308 1 0.017047429457306862 1118 535 1364 1276 11 0.01247358974069357 1458 542 1777 649 7 0.012355360202491283 1407 524 1764 824 8 0.012344320304691792 1449 1098 1683 1308 7 0.01163547020405531 833 921 974 1056 8 0.011152160353958607 836 925 967 1050 8 0.011022899999999999 1022 1623 1189 1799 5 0.010420549660921097 754 1334 1032 1565 1 0.008691 782 1441 1169 1827 7 0.00823826 1925 1632 2235 1957 8 0.007952879999999999 823 1503 1187 1842 9 0.00785425 1116 574 1362 1239 7 0.0077125499956309795 1029 452 1347 696 9 0.006903080000000001 1140 495 1374 891 8 0.00548096 1274 469 1649 782 13 0.004399329889565706 684 1154 1092 1756 0 0.00353939 1110 668 1485 1453 8 0.0030911900103092194 2102 2339 2351 2635 7 0.00257983 1638 680 1898 910 5 0.00254239 829 899 984 1081 4 0.0024243700318038464 794 1436 1212 1844 0 0.00178261 1359 753 1836 2019 11 0.0014633200000000002 2297 756 2953 1081 11 0.00132446 978 439 1339 636 9 0.00109351 1216 589 1699 2165 7 0.00106041 1444 568 1679 659
011295e0bcdc7636569ab73bfdcc4450,14 1.0 0 0 1 1
013c169f9dad6f1f6485da961b9f7bf2,0 0.11602704226970673 1162 703 1420 989 13 0.06446775048971176 611 637 899 1104 7 0.049725741147994995 587 594 889 1073 6 0.04179234057664871 609 601 918 1087 9 0.02457275055348873 345 952 485 1125 9 0.01073 1827 861 1938 967 13 0.00997878983616829 351 1328 487 1381 7 0.008622599765658379 636 641 771 982 13 0.008325889706611633 622 643 756 951 5 0.006543199997395277 294 576 963 1965 13 0.00606995 349 986 490 1138 2 0.00512085 1745 1451 1946 1796 9 0.00413145 0 216 251 1158 11 0.003361159935593605 1274 335 1492 413 5 0.002735889982432127 1300 630 1951 2048 11 0.0018792 737 366 982 529 0 0.0013317300000000002 5 296 146 612 8 0.00130629 356 1019 484 1116 7 0.0012857699999999999 0 258 219 1224
01431a2618c0ace741e4e270a37e20b9,3 0.8529379963874817 1060 1443 2050 1778 0 0.7297220230102539 1383 814 1646 1105 13 0.012060410343110561 1016 552 1085 694 13 0.0033477800000000003 783 880 922 1041 9 0.0017375700000000001 612 1387 1073 1718 0 0.0016068599999999999 1163 835 1604 1325 11 0.0012761 1485 487 1773 577
0168eb925aa6f28a78b16134792f5d0e,14 1.0 0 0 1 1
