image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 1.0 0 0 1 1
004f33259ee4aef671c2b95d54e4be68,14 1.0 0 0 1 1
008bdde2af2462e86fd373a445d0f4cd,0 0.8312512040138245 1435 825 1733 1181 3 0.7669721841812134 1098 1417 1935 1793 11 0.07225610315799713 1705 469 1903 577 2 0.042749401181936264 1615 876 1675 958 13 0.01671013981103897 2009 1415 2105 1455 13 0.014116960000000001 882 664 1035 717 7 0.005187020171433687 1177 508 1323 1020 11 0.00206148 1530 473 1834 557
009bc039326338823ca3aa84381f17f1,14 1.0 0 0 1 1
00a2145de1886cb9eb88869c85d74080,3 0.7718915939331055 784 1290 1865 1642 0 0.6396738290786743 1121 712 1353 935 13 0.18197619915008545 550 1296 775 1408 11 0.10115858167409897 1483 391 1613 508 2 0.08159910142421722 1308 759 1346 834 11 0.04564236104488373 600 370 747 465 11 0.016878340393304825 1275 375 1515 433 11 0.012034980580210686 691 357 963 444 2 0.008364880457520485 1225 723 1348 891 13 0.006331060081720352 822 525 867 679 9 0.0022013600000000003 2061 421 2136 964
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.6768186092376709 1102 1430 2092 1971 0 0.5684403777122498 1272 827 1668 1162 8 0.24246051907539368 1121 538 1409 1044 5 0.1706548035144806 706 1107 1161 1871 7 0.0813862606883049 778 1469 1143 1847 7 0.07884594053030014 1130 525 1379 1083 5 0.0746866837143898 1635 787 2176 1944 2 0.06742405891418457 1534 949 1645 1079 0 0.03325314074754715 1433 1069 1682 1311 1 0.0317206 1119 536 1365 1277 8 0.024688640609383583 1449 1098 1683 1308 13 0.020024940371513367 766 1399 993 1510 2 0.01780294068157673 1288 820 1656 1141 1 0.017382 782 1441 1169 1827 7 0.01647652 1925 1632 2235 1957 9 0.0157085 1116 574 1362 1239 11 0.013838780112564564 1454 548 1757 647 7 0.0120795 1415 521 1752 857 5 0.011609540320932865 750 1323 1059 1577 7 0.009507520124316216 831 921 975 1061 8 0.007375120000000001 826 919 975 1063 0 0.00707878 1110 668 1485 1453 7 0.00523528 1005 453 1324 694 7 0.00515966 1638 680 1898 910 5 0.00508478 829 899 984 1081 8 0.00396986 2109 2347 2344 2637 0 0.00356522 1359 753 1836 2019 13 0.00246322 727 1254 1069 1661 4 0.00219372 732 1403 1213 1881 9 0.00218702 1216 589 1699 2165 7 0.00212082 1444 568 1679 659
011295e0bcdc7636569ab73bfdcc4450,14 1.0 0 0 1 1
013c169f9dad6f1f6485da961b9f7bf2,0 0.07574167847633362 1156 701 1424 1000 6 0.05310217663645744 610 627 909 1086 9 0.03828736022114754 345 950 485 1125 13 0.028911098837852478 612 664 916 1111 7 0.021830160170793533 538 530 904 1091 7 0.01518678 636 643 773 991 13 0.012309120036661625 620 647 758 958 9 0.0082629 0 216 251 1158 11 0.00672231987118721 1274 335 1492 413 13 0.00667634 347 1327 493 1382 11 0.0037584 737 366 982 529 5 0.00301512 1252 463 1971 2124 5 0.00283554 299 540 967 1921 0 0.0026634600000000003 5 296 146 612 8 0.00261258 356 1019 484 1116 7 0.0025715399999999998 0 258 219 1224
01431a2618c0ace741e4e270a37e20b9,3 0.8560711741447449 1061 1442 2051 1778 0 0.7286822199821472 1386 814 1645 1103 13 0.00839816 1013 543 1091 743 9 0.0034751400000000003 612 1387 1073 1718 0 0.0032137199999999998 1163 835 1604 1325 11 0.0025522 1485 487 1773 577
0168eb925aa6f28a78b16134792f5d0e,14 1.0 0 0 1 1
016bc723c3ceedb78e27ebfe7032498e,14 0.6000000238418579 0 0 1 1 9 0.0036464 1577 1557 1727 1801 11 0.00273638 0 1327 55 1516
0171021638f9272a34a41feb84ed47a0,14 1.0 0 0 1 1
019df578e38053e614d483f7fb347b26,14 1.0 0 0 1 1
01ded16689539deb30d0981fafd18465,2 0.3088650107383728 177 399 808 938 13 0.26948919892311096 167 405 802 941 2 0.19573217630386353 1348 425 1826 978 2 0.19352766871452332 1701 868 1806 952 13 0.17170672118663788 1441 520 1827 953 2 0.1546630561351776 221 1250 345 1357 13 0.10901745408773422 152 697 446 838 8 0.10426441580057144 1700 866 1805 954 8 0.06961482018232346 1367 445 1805 987 2 0.027052680030465126 420 590 746 759 8 0.019824139773845673 453 599 507 649 13 0.011004920117557049 1279 322 1708 704 2 0.0100213 1291 335 1661 675 8 0.00862168 191 441 803 997 13 0.008489959873259068 430 588 803 768 2 0.00799178 1526 587 1638 690 8 0.007721679750829935 1520 576 1642 698 2 0.007162020541727543 530 457 610 533 8 0.0061030201613903046 1547 923 1618 979 13 0.005614100024104118 216 1250 336 1359 8 0.005055740009993315 1258 383 1912 1623 2 0.00465682 456 596 506 647 2 0.0034332599999999996 632 641 714 695 2 0.00301236 1464 530 1685 721 8 0.00283362 538 461 617 542 8 0.00281956 636 641 714 693 8 0.0025708000000000003 1447 513 1668 762 8 0.00238594 275 678 619 918 9 0.00219886 1149 1065 1229 1163 13 0.0020670000000000003 150 702 248 771 2 0.00205966 852 532 939 631 8 0.0020436200000000003 1486 434 1522 468 8 0.00202674 1583 1104 1642 1161
01eb30a37b6f5fed8a8d3ab2d1c0a7d6,3 0.7214784026145935 680 1114 1875 1681 2 0.5095898509025574 1103 501 1392 825 2 0.47323840856552124 358 428 662 697 0 0.44579198956489563 869 463 1412 882 2 0.39633768796920776 1279 709 1385 811 5 0.31161439418792725 155 348 837 1482 5 0.2030203938484192 1262 263 1957 1581 13 0.17558099329471588 185 866 409 998 7 0.14355260133743286 753 202 943 569 13 0.104034423828125 356 434 661 694 5 0.04963766038417816 1703 1240 1985 1604 5 0.04883648082613945 284 1050 758 1414 2 0.04556608200073242 407 837 515 913 10 0.03900071978569031 1828 1457 2028 1679 8 0.02508346177637577 1355 235 1399 270 8 0.0237096 351 435 661 701 13 0.021946799010038376 175 364 716 1013 9 0.01988934 124 1367 854 1900 9 0.01921004 384 439 669 664 2 0.018735380843281746 1734 1004 1779 1044 8 0.0173958 762 214 954 589 5 0.015949580818414688 1562 977 1953 1557 2 0.01592102088034153 159 405 782 1263 2 0.015582580119371414 223 688 574 1014 11 0.015262080356478691 1149 155 1438 339 11 0.014784379862248898 1804 1395 2021 1640 8 0.014349419999999998 415 845 510 914 8 0.013298539444804192 1344 231 1452 329 9 0.01249867957085371 731 390 1388 1718 5 0.01168798 266 410 715 828 2 0.011495459824800491 1222 185 1469 367 2 0.011123599484562874 234 1382 285 1430 8 0.00970282033085823 1437 739 1556 852 10 0.00877930037677288 114 1418 296 1643 8 0.008686919999999999 1417 514 1466 554 5 0.008330640383064747 168 752 534 1091 2 0.008203919976949692 760 872 855 995 8 0.006668900139629841 1735 1004 1780 1040 11 0.006115000000000001 711 191 907 241 5 0.005800560116767883 1254 229 1721 736 8 0.0057615 337 569 487 708 2 0.0054690599999999995 1208 606 1318 737 8 0.005340759642422199 488 1200 528 1233 11 0.00488624 1460 202 1700 356 2 0.00464286 944 670 991 708 2 0.0040849400000000004 347 543 494 689 2 0.00380802 1357 241 1458 339 8 0.00373804 789 0 1006 235 9 0.00361154 640 974 785 1128 9 0.00352598 754 225 942 622 11 0.0034853 124 1369 320 1611 8 0.0033130800000000004 461 870 502 907 2 0.00307732 750 177 1169 730 8 0.0029392999999999997 1250 429 1739 1132 13 0.00282754 1747 1263 1966 1525 13 0.00260444 169 703 510 1049 5 0.0025517 733 183 940 633 2 0.00221686 169 817 335 982 7 0.00211268 1797 1465 2010 1646 5 0.00207462 644 970 791 1111 9 0.00206306 180 878 432 1034
01f8f17dba6c5e67ba5bcf30ce70ea3f,14 0.2 0 0 1 1 3 0.03999853879213333 1179 1227 2276 1842 0 0.0020091600000000003 1324 715 1830 1049
02199417ff2a400cff64249f0399f0d7,14 0.2 0 0 1 1 3 0.07590368390083313 952 1261 2190 1687 0 0.04065991938114166 1469 575 1773 905 11 0.02063019946217537 1822 289 2162 515 11 0.007672479841858149 631 270 934 451 5 0.0029574799999999997 1687 409 2397 1730
022a62478444fedf2dea1ba91aafdc48,14 0.6000000238418579 0 0 1 1 13 0.013096760027110577 24 1486 253 1565
02425334e92510da663eb913ad0632ea,0 0.3699040114879608 1700 674 1979 1038 3 0.013348739594221115 1301 1526 2263 1851 11 0.00871608 1173 372 1458 429 8 0.0044119400000000005 876 1725 984 1815
024e693014e70d448f650267bed661ae,14 1.0 0 0 1 1
0271d381c3e88527721efcfaf518be71,14 0.4000000059604645 0 0 1 1 13 0.06187921762466431 1871 1705 2128 1825 0 0.04947204142808914 1228 793 1593 1210 3 0.01897946000099182 820 1708 1971 2233 0 0.015514020808041096 947 817 1599 1590 11 0.006954459939152002 1373 402 1790 518 2 0.00253566 1475 1253 1545 1322
0291515f5d14c34180a15712a55bf7bd,0 0.7981253862380981 1341 757 1674 1116 3 0.7521607875823975 1028 1500 1999 1807 11 0.02028840035200119 1554 409 1787 465 5 0.015671059489250183 518 603 1109 1833 11 0.00708584 2242 2157 2376 2388 11 0.006330479867756367 862 394 1081 442 7 0.00270162 392 1569 635 1989 11 0.00253046 739 399 928 537
