image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 1.0 0 0 1 1
004f33259ee4aef671c2b95d54e4be68,14 0.800000011920929 0 0 1 1 8 0.0033203200000000003 1970 2511 2215 2718 11 0.0025711 1691 340 1861 485
008bdde2af2462e86fd373a445d0f4cd,0 0.8270506262779236 1432 825 1733 1184 3 0.7565432190895081 1096 1420 1932 1794 2 0.08717034012079239 1613 875 1681 962 11 0.046862781047821045 1744 473 1903 578 2 0.024121 1487 847 1717 1083 13 0.022894298657774925 2004 1411 2109 1454 11 0.010800180025398731 1597 462 1870 548 13 0.008258060000000001 972 667 1105 816 7 0.00591581966727972 1185 540 1323 1013 11 0.0037109400000000002 1942 638 2054 768
009bc039326338823ca3aa84381f17f1,14 0.800000011920929 0 0 1 1 9 0.0020523 1943 1187 1971 1220
00a2145de1886cb9eb88869c85d74080,3 0.8125 780 1292 1867 1643 0 0.6544923782348633 1122 712 1352 935 13 0.13766488432884216 537 1293 764 1395 11 0.061248779296875 1484 392 1611 505 11 0.05405274033546448 596 370 746 475 2 0.019169621169567108 1308 765 1343 828 11 0.013337699696421623 679 360 951 441 11 0.010925300419330597 1275 379 1521 439 13 0.00547486 826 527 870 677 7 0.00510254 772 336 980 473
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.625048816204071 1093 1427 2096 1971 0 0.5970703363418579 1232 826 1681 1192 8 0.3234619200229645 1127 568 1421 991 5 0.19697877764701843 718 1032 1166 1834 7 0.15959464013576508 793 1469 1172 1847 7 0.10332342237234116 1123 537 1397 1059 2 0.062405459582805634 1518 930 1653 1088 13 0.04797977954149246 751 1395 1000 1505 2 0.040118418633937836 1327 829 1672 1137 8 0.022045799999999997 1022 1623 1189 1799 5 0.016925040632486343 1667 799 2145 1766 8 0.015905759999999998 823 1503 1187 1842 8 0.014929200522601604 842 929 964 1044 9 0.013806160000000001 1140 495 1374 891 7 0.013763420283794403 836 921 974 1053 7 0.012631219811737537 1401 528 1776 793 11 0.011108400000000001 1465 536 1802 653 8 0.01096192 1274 469 1649 782 7 0.01018982008099556 1042 453 1359 698 5 0.009231559932231903 760 1350 999 1550 13 0.00633544 668 1116 1102 1793 0 0.00510254 1453 1078 1682 1295 11 0.0029266400000000003 2297 756 2953 1081 4 0.00265502 847 1465 1213 1815 11 0.00264892 978 439 1339 636 1 0.00237426 1113 524 1362 1263 8 0.00221252 2092 2326 2364 2634
011295e0bcdc7636569ab73bfdcc4450,14 1.0 0 0 1 1
013c169f9dad6f1f6485da961b9f7bf2,0 0.15631240606307983 1166 705 1419 985 13 0.10002440214157104 612 630 895 1102 7 0.07762132585048676 602 612 885 1069 6 0.030482500791549683 610 556 934 1091 9 0.02146 1827 861 1938 967 13 0.01328124 354 1329 484 1382 13 0.0121399 349 986 490 1138 9 0.010858139954507351 348 963 486 1128 5 0.010250859893858433 293 586 963 1978 2 0.0102417 1745 1451 1946 1796 13 0.00434266 630 634 753 933 5 0.0024566600000000003 1360 836 1928 1955 7 0.00205842 639 629 757 919
01431a2618c0ace741e4e270a37e20b9,3 0.8498048186302185 1061 1446 2050 1779 0 0.7307618260383606 1382 815 1648 1108 13 0.01572266 1019 557 1082 669 13 0.006695560000000001 783 880 922 1041
0168eb925aa6f28a78b16134792f5d0e,14 1.0 0 0 1 1
