image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 0.5 0 0 1 1 3 0.1187135 836 1262 1901 1620 0 0.04394525 1170 651 1436 934 11 0.03271475 1341 293 1713 391 11 0.011894225 431 323 728 468 11 0.00743865 570 308 937 400 5 0.0033493 92 245 1009 1671 2 0.002780925 307 1368 398 1418
004f33259ee4aef671c2b95d54e4be68,14 0.25 0 0 1 1 0 0.19470225 1258 588 1531 887 10 0.1274415 1915 2783 2517 3004 3 0.0615235 1020 1464 1920 1774 4 0.05661 1954 2102 2227 2570 4 0.0239563 2030 1946 2222 2150 4 0.0174408 2 695 167 1212 11 0.012687675 1413 319 1691 384 10 0.00408555 20 2806 875 3013 11 0.0028019 2168 1724 2247 1862
008bdde2af2462e86fd373a445d0f4cd,0 0.1744385 1415 824 1735 1187 3 0.1589355 1098 1401 1926 1783 4 0.14282225 940 563 1174 833 11 0.02569575 1674 464 1890 551 2 0.021835325 1606 866 1683 964 7 0.009101875 1170 456 1332 1204 2 0.0077896 383 1398 473 1522 11 0.004776 1800 484 1998 672 8 0.00460815 758 1485 783 1513 13 0.0036831 925 636 1116 821 2 0.0030098 1512 841 1701 1004 9 0.0025673 1746 489 1854 596
009bc039326338823ca3aa84381f17f1,3 0.15917975 666 1049 1550 1334 0 0.15332025 983 477 1215 750 7 0.09484875 347 935 746 1187 5 0.09173575 206 278 822 1312 5 0.05584725 1305 698 1751 1334 4 0.03234875 1634 1089 1743 1265 6 0.024612425 1363 873 1753 1338 9 0.008224475 388 947 734 1187 13 0.0054474 1554 1092 1760 1452 7 0.0040741 191 422 742 1258 11 0.00388145 1157 259 1367 320
00a2145de1886cb9eb88869c85d74080,3 0.1464845 772 1284 1836 1646 0 0.13073725 1114 710 1352 941 2 0.06823725 1302 757 1348 832 9 0.0139389 102 1409 897 1764 11 0.009140025 607 357 928 454 4 0.0062065 0 414 106 724 13 0.0050888 501 1272 795 1413 11 0.005039225 1302 369 1527 426 11 0.004680625 1911 1608 2015 1754 4 0.002643575 171 47 745 357
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.18872075 1148 1547 2054 1922 0 0.1710205 1377 847 1641 1102 4 0.142456 765 1500 1146 1881 7 0.09252925 791 1459 1148 1836 5 0.06658925 759 990 1189 1863 9 0.05261225 1113 507 1614 1400 8 0.020538325 1506 1084 1667 1289 9 0.018981925 785 1424 1134 1833 7 0.0143509 1116 445 1307 589 7 0.012268075 823 922 958 1040 11 0.012176525 1488 557 1733 633 5 0.011062625 1796 1219 2212 1992 1 0.011009225 1887 2856 2540 3000 8 0.010726925 823 931 958 1040 2 0.010559075 1371 844 1655 1128 11 0.007473 961 480 1189 636 9 0.006961825 1482 1049 1649 1321 0 0.00657655 1154 697 1515 1263 12 0.00392915 1705 1948 1937 2150 9 0.0038395 9 2634 507 3000 8 0.00379945 756 2807 1313 3000 5 0.003721225 1667 803 2080 1579 11 0.003265375 1084 480 1289 574 0 0.00310135 1134 592 1348 969 13 0.00263215 1836 975 1992 1052
011295e0bcdc7636569ab73bfdcc4450,14 0.75 0 0 1 1 11 0.0495605 668 484 921 558 11 0.047058 1289 522 1540 589 11 0.023239125 257 1908 331 2029 13 0.016036975 430 1456 580 1561 11 0.006420125 1823 1889 1901 2017
013c169f9dad6f1f6485da961b9f7bf2,0 0.15417475 1163 709 1419 997 6 0.15271 607 584 853 1014 13 0.06039425 481 562 890 1100 7 0.037323 649 629 757 942 11 0.0189972 1308 335 1509 415 11 0.0187378 739 378 958 468 7 0.012451175 630 670 947 1160 11 0.0110321 319 1899 424 2049 9 0.009933475 1387 371 1449 435 9 0.00979615 536 643 584 709 4 0.007743825 623 698 798 947 13 0.006649025 1401 679 1661 1047 7 0.00626755 536 640 584 706 13 0.005493175 372 1003 477 1097 1 0.004600525 1147 2058 1989 2836 13 0.004394525 340 817 819 1424 11 0.003990175 1319 341 1646 526 5 0.00387765 1442 1030 1874 1869 4 0.00370025 230 368 399 512 11 0.00343705 1874 1947 1971 2135 6 0.003227225 7 174 210 407 1 0.003145225 1278 385 1646 1119 6 0.002952575 1268 485 1615 983 11 0.0029049 1531 474 1706 615 9 0.002742775 2003 1836 2067 2227
01431a2618c0ace741e4e270a37e20b9,14 0.25 0 0 1 1 3 0.19836425 1055 1451 2039 1788 0 0.169922 1381 818 1652 1105 7 0.060669 621 1364 1116 1696 4 0.0283965 675 1398 1030 1704 4 0.007225025 1723 1297 2119 1713
0168eb925aa6f28a78b16134792f5d0e,14 0.5 0 0 1 1 0 0.07073975 1319 584 1515 814 4 0.02082825 1014 2047 1246 2667 4 0.017730725 552 2213 868 2612 4 0.008872975 365 202 547 313 11 0.004093175 1506 349 1743 404 3 0.004039775 986 1155 1737 1623 4 0.0025711 1736 102 2087 421
