image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 0.75 0 0 1 1 3 0.05935675 836 1262 1901 1620 0 0.021972625 1170 651 1436 934 11 0.016357375 1341 293 1713 391 11 0.0059471125 431 323 728 468 11 0.003719325 570 308 937 400 5 0.00167465 92 245 1009 1671 2 0.0013904625 307 1368 398 1418
004f33259ee4aef671c2b95d54e4be68,14 0.5249999761581421 0 0 1 1 0 0.097351125 1258 588 1531 887 10 0.06372075 1915 2783 2517 3004 3 0.03076175 1020 1464 1920 1774 4 0.028305 1954 2102 2227 2570 4 0.01197815 2030 1946 2222 2150 4 0.0087204 2 695 167 1212 11 0.0063438375 1413 319 1691 384 10 0.002042775 20 2806 875 3013 8 0.0016601600000000002 1970 2511 2215 2718 11 0.00140095 2168 1724 2247 1862 11 0.00128555 1691 340 1861 485
008bdde2af2462e86fd373a445d0f4cd,0 0.4968383312225342 1429 824 1734 1187 3 0.4564209580421448 1095 1416 1930 1792 4 0.071411125 940 563 1174 833 2 0.06612619012594223 1614 871 1682 960 11 0.0324966162443161 1701 467 1895 563 2 0.013565399684011936 1489 846 1715 1074 13 0.011447149328887463 2004 1411 2109 1454 7 0.007508847396820784 1175 489 1328 1128 13 0.0059705800376832485 957 657 1108 817 13 0.0041687 880 653 990 714 2 0.0038948 383 1398 473 1522 11 0.00317078 1550 467 1858 543 11 0.002388 1800 484 1998 672 8 0.002304075 758 1485 783 1513 11 0.0018554700000000001 1942 638 2054 768 9 0.00128365 1746 489 1854 596
009bc039326338823ca3aa84381f17f1,14 0.30000001192092896 0 0 1 1 3 0.079589875 666 1049 1550 1334 0 0.076660125 983 477 1215 750 7 0.047424375 347 935 746 1187 5 0.04698024317622185 205 287 820 1311 5 0.027923625 1305 698 1751 1334 4 0.016174375 1634 1089 1743 1265 6 0.0123062125 1363 873 1753 1338 9 0.0041122375 388 947 734 1187 13 0.0027237 1554 1092 1760 1452 9 0.0020912098698318005 1944 1188 1967 1216 7 0.00203705 191 422 742 1258 11 0.001940725 1157 259 1367 320
00a2145de1886cb9eb88869c85d74080,3 0.47846683859825134 777 1291 1860 1644 0 0.3846070170402527 1118 710 1352 936 13 0.08661124110221863 538 1291 769 1400 2 0.04475553333759308 1303 758 1346 831 11 0.03417358174920082 1472 388 1611 504 11 0.02923889085650444 595 370 746 475 11 0.012783813290297985 655 358 944 445 11 0.009292232804000378 1281 374 1516 431 9 0.00696945 102 1409 897 1764 4 0.00310325 0 414 106 724 13 0.00273743 826 527 870 677 7 0.00255127 772 336 980 473 11 0.0023403125 1911 1608 2015 1754 4 0.0013217875 171 47 745 357
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.3890624940395355 1103 1455 2085 1957 0 0.3658325672149658 1259 832 1670 1170 7 0.127401664853096 792 1465 1162 1843 8 0.11307375133037567 1119 588 1417 1032 7 0.09084631502628326 1125 539 1361 1137 5 0.08245541155338287 719 812 1191 1876 4 0.07255551218986511 766 1499 1147 1879 7 0.035171546041965485 828 916 984 1049 2 0.027319367974996567 1521 930 1652 1086 9 0.026306125 1113 507 1614 1400 5 0.0241821 820 913 1002 1058 2 0.023596197366714478 1349 833 1667 1134 5 0.022833239287137985 762 1462 1146 1842 11 0.017071543261408806 1478 550 1774 644 5 0.01652735285460949 1651 838 2150 1767 8 0.011022899999999999 1022 1623 1189 1799 8 0.0102691625 1506 1084 1667 1289 9 0.0094909625 785 1424 1134 1833 13 0.008584590628743172 779 1395 981 1510 8 0.007952879999999999 823 1503 1187 1842 8 0.007182312663644552 826 931 960 1042 7 0.00717545 1116 445 1307 589 9 0.006903080000000001 1140 495 1374 891 7 0.006315609905868769 1401 528 1776 792 7 0.005671699997037649 1180 470 1422 801 5 0.0055313125 1796 1219 2212 1992 1 0.0055046125 1887 2856 2540 3000 8 0.00548096 1274 469 1649 782 0 0.00512695 1266 809 1767 1690 11 0.0050609600730240345 965 469 1228 635 9 0.00427856 1125 671 1289 1251 9 0.0034809125 1482 1049 1649 1321 0 0.003288275 1154 697 1515 1263 7 0.0032867402769625187 971 449 1326 694 5 0.00236053 782 1348 1011 1562 12 0.001964575 1705 1948 1937 2150 9 0.00191975 9 2634 507 3000 8 0.001899725 756 2807 1313 3000 11 0.0016326875 1084 480 1289 574 0 0.001550675 1134 592 1348 969 11 0.0014633200000000002 2297 756 2953 1081 13 0.001316075 1836 975 1992 1052 5 0.00120316 715 1266 1110 1655 1 0.00118713 1113 524 1362 1263 8 0.00110626 2092 2326 2364 2634
011295e0bcdc7636569ab73bfdcc4450,14 0.875 0 0 1 1 11 0.02478025 668 484 921 558 11 0.023529 1289 522 1540 589 11 0.0116195625 257 1908 331 2029 13 0.0080184875 430 1456 580 1561 11 0.0032100625 1823 1889 1901 2017
013c169f9dad6f1f6485da961b9f7bf2,0 0.15796880424022675 1164 706 1419 991 6 0.1107124537229538 605 568 879 1035 13 0.053012024611234665 539 591 906 1115 7 0.04882044717669487 565 500 938 1054 7 0.024585729464888573 642 627 761 943 9 0.01073 1827 861 1938 967 9 0.009963979944586754 340 920 486 1130 11 0.0094986 1308 335 1509 415 11 0.0093689 739 377 958 468 13 0.008816537447273731 356 991 485 1125 13 0.00664062 354 1329 484 1382 11 0.00551605 319 1899 424 2049 5 0.005125429946929216 293 586 963 1978 2 0.00512085 1745 1451 1946 1796 9 0.0049667375 1387 371 1449 435 9 0.004898075 536 643 584 709 4 0.0038719125 623 698 798 947 13 0.0033245125 1401 679 1661 1047 5 0.0031671549659222364 1410 954 1894 1902 7 0.003133775 536 640 584 706 1 0.0023002625 1147 2058 1989 2836 13 0.0021972625 340 817 819 1424 13 0.00217133 630 634 753 933 11 0.0019950875 1319 341 1646 526 4 0.001850125 230 368 399 512 11 0.001718525 1874 1947 1971 2135 6 0.0016136125 7 174 210 407 1 0.0015726125 1278 385 1646 1119 6 0.0014762875 1268 485 1615 983 11 0.00145245 1531 474 1706 615 9 0.0013713875 2003 1836 2067 2227 4 0.0011055000000000001 527 548 778 928
01431a2618c0ace741e4e270a37e20b9,3 0.522814929485321 1059 1447 2048 1780 0 0.44794929027557373 1381 815 1649 1107 14 0.125 0 0 1 1 7 0.0303345 621 1364 1116 1696 4 0.01419825 675 1398 1030 1704 13 0.00786133 1019 557 1082 669 4 0.0036125125 1723 1297 2119 1713 13 0.0033477800000000003 783 880 922 1041
0168eb925aa6f28a78b16134792f5d0e,14 0.75 0 0 1 1 0 0.035369875 1319 584 1515 814 4 0.010414125 1014 2047 1246 2667 4 0.0088653625 552 2213 868 2612 4 0.0044364875 365 202 547 313 11 0.0020465875 1506 349 1743 404 3 0.0020198875 986 1155 1737 1623 4 0.00128555 1736 102 2087 421
016bc723c3ceedb78e27ebfe7032498e,14 0.5 0 0 1 1 4 0.088745125 368 935 604 1236 3 0.080017125 561 1130 1385 1490 0 0.076294 791 463 1015 721 7 0.064148 1174 916 1529 1497 4 0.052337625 1129 885 1523 1464 7 0.03610225 413 933 606 1229 7 0.025787375 58 852 600 1258 9 0.0116195625 37 812 588 1276 6 0.0111312875 23 784 600 1290 6 0.00803375 1153 860 1531 1478 11 0.00432205 284 230 510 365 11 0.0039482125 946 225 1242 308 11 0.0032424875 1468 1474 1569 1664 11 0.0022049 413 233 666 299 9 0.0017614375 411 930 631 1229
0171021638f9272a34a41feb84ed47a0,14 0.75 0 0 1 1 11 0.007858275 1890 420 2202 501 11 0.003898625 3 558 132 735 11 0.00211525 1173 393 1464 459 0 0.0018968625 1656 762 1896 990 1 0.0016050375 666 246 1542 1962 11 0.0012579 2043 429 2301 561
019df578e38053e614d483f7fb347b26,14 0.5249999761581421 0 0 1 1 0 0.069336 1375 838 1682 1143 4 0.0217285 1767 2285 2254 2762 3 0.008583075 940 1734 2111 2176 13 0.0074653625 506 792 654 913 11 0.0038757375 1616 408 1869 488 13 0.00382995 2152 930 2262 1034 13 0.001551625 1638 422 1847 520 13 0.00146485 2032 915 2279 1123 5 0.0013151125 186 388 1265 2107 9 0.00118332 2557 1924 2730 2234
