image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 0.75 0 0 1 1 3 0.05935675 836 1262 1901 1620 0 0.021972625 1170 651 1436 934 11 0.016357375 1341 293 1713 391 11 0.0059471125 431 323 728 468 11 0.003719325 570 308 937 400 5 0.00167465 92 245 1009 1671 2 0.0013904625 307 1368 398 1418
004f33259ee4aef671c2b95d54e4be68,14 0.125 0 0 1 1 0 0.097351125 1258 588 1531 887 10 0.06372075 1915 2783 2517 3004 3 0.03076175 1020 1464 1920 1774 4 0.028305 1954 2102 2227 2570 4 0.01197815 2030 1946 2222 2150 4 0.0087204 2 695 167 1212 11 0.0063438375 1413 319 1691 384 10 0.002042775 20 2806 875 3013 11 0.00140095 2168 1724 2247 1862 0 0.0005 1010 555 1555 1114
008bdde2af2462e86fd373a445d0f4cd,0 0.3300192356109619 1424 819 1739 1190 3 0.2318677455186844 1091 1414 1937 1798 4 0.071411125 940 563 1174 833 2 0.03166766092181206 1609 867 1686 979 11 0.012847875 1674 464 1890 551 0 0.00735 1160 805 1754 1413 2 0.0066049001179635525 1541 844 1709 1038 7 0.0045509375 1170 456 1332 1204 2 0.0038948 383 1398 473 1522 11 0.002388 1800 484 1998 672 8 0.002304075 758 1485 783 1513 13 0.00184155 925 636 1116 821 9 0.00128365 1746 489 1854 596 13 0.0009 2000 1409 2110 1451
009bc039326338823ca3aa84381f17f1,14 0.5 0 0 1 1 3 0.079589875 666 1049 1550 1334 0 0.076660125 983 477 1215 750 7 0.047424375 347 935 746 1187 5 0.045867875 206 278 822 1312 5 0.027923625 1305 698 1751 1334 4 0.016174375 1634 1089 1743 1265 6 0.0123062125 1363 873 1753 1338 9 0.0041122375 388 947 734 1187 13 0.0027237 1554 1092 1760 1452 7 0.00203705 191 422 742 1258 11 0.001940725 1157 259 1367 320
00a2145de1886cb9eb88869c85d74080,3 0.26109224557876587 775 1281 1858 1651 0 0.12321862578392029 1113 709 1353 942 2 0.04816862568259239 1303 756 1347 832 13 0.010194400325417519 522 1271 783 1416 9 0.00696945 102 1409 897 1764 11 0.0045700125 607 357 928 454 4 0.00310325 0 414 106 724 11 0.0025196125 1302 369 1527 426 11 0.0023403125 1911 1608 2015 1754 2 0.0015 1280 743 1343 857 4 0.0013217875 171 47 745 357 11 0.0011 1483 395 1624 514
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.43291038274765015 1119 1465 2071 1966 0 0.3440602421760559 1337 839 1654 1137 8 0.08085 1130 565 1388 1038 4 0.0755779966711998 768 1498 1145 1876 5 0.06259462237358093 723 962 1184 1849 7 0.058064624667167664 798 1462 1144 1828 0 0.043788276612758636 1128 675 1406 1207 2 0.03562953695654869 1332 838 1660 1141 5 0.03315 789 1472 1124 1818 9 0.026306125 1113 507 1614 1400 8 0.023 1235 519 1506 823 0 0.01675 1260 825 1709 1642 1 0.01525 834 1453 1145 1798 2 0.014 1539 958 1644 1081 5 0.01395 815 916 996 1059 8 0.0124634625390172 817 921 981 1049 1 0.01165 1124 629 1340 1240 8 0.010869162157177925 1505 1084 1667 1289 9 0.0094909625 785 1424 1134 1833 7 0.008684037253260612 822 919 968 1047 7 0.0083 1126 576 1363 1145 9 0.00815 1118 578 1353 1202 11 0.007388262543827295 1489 556 1737 635 7 0.00717545 1116 445 1307 589 5 0.006710612680763006 1711 888 2126 1651 13 0.00635 785 1385 966 1511 5 0.0055313125 1796 1219 2212 1992 1 0.0055046125 1887 2856 2540 3000 11 0.0037365 961 480 1189 636 9 0.0034809125 1482 1049 1649 1321 7 0.0031 1004 456 1303 673 0 0.00275 1447 1063 1687 1365 0 0.0024 1262 624 1939 2302 3 0.00205 814 1476 1142 1769 2 0.002 1477 891 1643 1104 12 0.001964575 1705 1948 1937 2150 9 0.00191975 9 2634 507 3000 8 0.001899725 756 2807 1313 3000 11 0.0016326875 1084 480 1289 574 0 0.001550675 1134 592 1348 969 1 0.00145 1092 1371 1245 1593 9 0.0014 1177 717 1669 2033 13 0.001316075 1836 975 1992 1052 5 0.0013 758 1350 1013 1541 3 0.00125 1136 872 2080 2235 7 0.0012 1450 539 1757 832 7 0.00115 1209 524 1470 860 7 0.00115 1271 503 1634 747 5 0.001 823 843 1060 1122 13 0.00095 732 1297 1001 1605 0 0.0009 1089 738 1409 1810 8 0.00075 1312 96 1485 427 5 0.00075 1678 708 1921 899 7 0.0006 1684 700 1910 893 7 0.0006 1107 509 1321 801 2 0.0006 1371 872 1514 1037 9 0.00055 1154 500 1376 860 8 0.0005 1371 448 1476 556
011295e0bcdc7636569ab73bfdcc4450,14 0.875 0 0 1 1 11 0.02478025 668 484 921 558 11 0.023529 1289 522 1540 589 11 0.0116195625 257 1908 331 2029 13 0.0080184875 430 1456 580 1561 11 0.0032100625 1823 1889 1901 2017
013c169f9dad6f1f6485da961b9f7bf2,0 0.08273737132549286 1162 707 1419 998 6 0.076355 607 584 853 1014 9 0.06255000084638596 337 921 509 1135 5 0.0487 1196 325 1972 2149 13 0.04464712366461754 492 554 910 1140 7 0.028675587847828865 568 489 954 1110 6 0.02205 508 466 970 1142 7 0.019861500710248947 646 627 758 943 8 0.01925 572 470 941 1057 4 0.0186 459 397 990 1134 5 0.01415 260 319 1027 2161 7 0.0098 249 238 1033 2006 11 0.0094986 1308 335 1509 415 11 0.0093689 739 377 958 468 8 0.00705 335 905 520 1143 11 0.00551605 319 1899 424 2049 10 0.0055 239 1739 735 2146 9 0.00535 519 364 1904 2176 9 0.0049667375 1387 371 1449 435 9 0.004898075 536 643 584 709 12 0.00485 245 321 1009 1953 6 0.00475 250 249 1040 1966 9 0.00475 3 175 239 1641 4 0.00475 0 113 280 1296 8 0.00435 322 251 1007 1440 4 0.0038719125 623 698 798 947 9 0.0034 1813 843 1965 975 13 0.0033245125 1401 679 1661 1047 9 0.00315 1293 118 2274 2103 7 0.003133775 536 640 584 706 8 0.00285 0 204 237 1232 13 0.0027465875 372 1003 477 1097 9 0.0027 270 553 809 1341 1 0.0023002625 1147 2058 1989 2836 0 0.0023 4 271 177 695 13 0.0021972625 340 817 819 1424 3 0.00215 139 1802 2199 2836 9 0.0021 2009 833 2322 2836 7 0.002 1177 130 2174 2085 11 0.0019950875 1319 341 1646 526 5 0.001938825 1442 1030 1874 1869 4 0.001850125 230 368 399 512 9 0.00175 232 1699 878 2808 11 0.001718525 1874 1947 1971 2135 6 0.0016136125 7 174 210 407 9 0.0016 189 216 1005 2199 1 0.0015726125 1278 385 1646 1119 10 0.00155 1713 1742 2011 2160 9 0.00155 863 1416 1347 2826 6 0.0014762875 1268 485 1615 983 11 0.00145245 1531 474 1706 615 9 0.0013713875 2003 1836 2067 2227 1 0.00125 0 0 488 1268 4 0.00115 1140 0 2288 2063 7 0.00115 0 0 501 1287 9 0.001 257 1825 501 2074 9 0.001 1626 257 1810 362 9 0.00095 328 783 690 1146 9 0.0009 1916 567 2272 875 9 0.0009 123 1686 2176 2836 1 0.0009 1156 0 2336 2237 8 0.00075 447 1282 700 1703 9 0.00075 1247 1728 1968 2151 9 0.0007 1799 473 2294 1069 12 0.00065 1190 0 2297 2193 8 0.00065 501 1409 636 1586 9 0.00065 839 728 1454 2196 9 0.00065 2 235 190 703 13 0.0006 1172 425 1863 2066 11 0.0006 0 0 786 1265 13 0.00055 301 285 1001 1901 8 0.00055 276 739 917 2190 11 0.00055 1325 1730 1993 2168 10 0.00055 77 1658 631 2392 12 0.00055 1272 299 1941 1185
01431a2618c0ace741e4e270a37e20b9,3 0.3206821382045746 1053 1451 2056 1784 0 0.150410994887352 1378 814 1652 1106 14 0.125 0 0 1 1 7 0.0303345 621 1364 1116 1696 4 0.01419825 675 1398 1030 1704 0 0.0097 1158 807 1649 1317 4 0.0036125125 1723 1297 2119 1713 13 0.0006 1010 545 1082 669
0168eb925aa6f28a78b16134792f5d0e,14 0.75 0 0 1 1 0 0.035369875 1319 584 1515 814 4 0.010414125 1014 2047 1246 2667 4 0.0088653625 552 2213 868 2612 4 0.0044364875 365 202 547 313 11 0.0020465875 1506 349 1743 404 3 0.0020198875 986 1155 1737 1623 4 0.00128555 1736 102 2087 421
