image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 0.8333333134651184 0 0 1 1 3 0.039571166666666664 836 1262 1901 1620 0 0.014648416666666665 1170 651 1436 934 11 0.010904916666666667 1341 293 1713 391 11 0.003964741666666666 431 323 728 468 11 0.00247955 570 308 937 400 5 0.0011164333333333334 92 245 1009 1671 2 0.000926975 307 1368 398 1418
004f33259ee4aef671c2b95d54e4be68,14 0.3499999940395355 0 0 1 1 0 0.06490075 1258 588 1531 887 10 0.042480500000000004 1915 2783 2517 3004 3 0.020507833333333333 1020 1464 1920 1774 4 0.01887 1954 2102 2227 2570 4 0.007985433333333333 2030 1946 2222 2150 4 0.0058135999999999995 2 695 167 1212 11 0.0042292250000000005 1413 319 1691 384 10 0.0013618500000000002 20 2806 875 3013 8 0.0011067733333333335 1970 2511 2215 2718 11 0.0009339666666666667 2168 1724 2247 1862 11 0.0008570333333333334 1691 340 1861 485 0 0.0003333333333333333 1010 555 1555 1114
008bdde2af2462e86fd373a445d0f4cd,0 0.49309223890304565 1428 822 1736 1189 3 0.4058806300163269 1093 1417 1933 1796 2 0.057917460799217224 1613 871 1683 966 4 0.04760741666666667 940 563 1174 833 11 0.021664410829544067 1701 467 1895 563 2 0.012443600222468376 1506 846 1714 1067 13 0.008231433108448982 2003 1410 2109 1453 7 0.005005898419767618 1175 489 1328 1128 0 0.0049 1160 805 1754 1413 13 0.003980386536568403 957 657 1108 817 13 0.002779133333333333 880 653 990 714 2 0.0025965333333333334 383 1398 473 1522 11 0.0021138533333333333 1550 467 1858 543 11 0.0015919999999999999 1800 484 1998 672 8 0.00153605 758 1485 783 1513 11 0.0012369800000000002 1942 638 2054 768 9 0.0008557666666666666 1746 489 1854 596
009bc039326338823ca3aa84381f17f1,14 0.5333333611488342 0 0 1 1 3 0.05305991666666667 666 1049 1550 1334 0 0.05110675 983 477 1215 750 7 0.03161625 347 935 746 1187 5 0.03132016211748123 205 287 820 1311 5 0.01861575 1305 698 1751 1334 4 0.010782916666666668 1634 1089 1743 1265 6 0.008204141666666666 1363 873 1753 1338 9 0.0027414916666666667 388 947 734 1187 13 0.0018158 1554 1092 1760 1452 9 0.0013941399132212002 1944 1188 1967 1216 7 0.0013580333333333332 191 422 742 1258 11 0.0012938166666666667 1157 259 1367 320
00a2145de1886cb9eb88869c85d74080,3 0.4442112147808075 777 1288 1862 1647 0 0.2949713468551636 1117 710 1352 937 13 0.06284082680940628 538 1289 770 1401 2 0.03920368850231171 1303 758 1346 831 11 0.023515721783041954 1472 388 1611 504 11 0.019492593904336292 595 370 746 475 11 0.00852254219353199 655 358 944 445 11 0.006194822024554014 1281 374 1516 431 9 0.0046463 102 1409 897 1764 4 0.0020688333333333335 0 414 106 724 13 0.0018249533333333332 826 527 870 677 7 0.0017008466666666667 772 336 980 473 11 0.0015602083333333334 1911 1608 2015 1754 2 0.001 1280 743 1343 857 4 0.0008811916666666667 171 47 745 357
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.4850749969482422 1107 1449 2081 1967 0 0.41625505685806274 1286 834 1665 1161 8 0.12928250432014465 1123 578 1404 1034 7 0.09280110895633698 795 1466 1159 1839 5 0.07450360804796219 710 843 1188 1865 7 0.06609754264354706 1125 542 1361 1137 4 0.051270339637994766 769 1498 1146 1874 5 0.037322159856557846 778 1467 1132 1827 2 0.035964131355285645 1336 835 1664 1139 0 0.029192185029387474 1128 675 1406 1207 2 0.028879579156637192 1524 937 1648 1085 5 0.025421401485800743 818 914 999 1058 7 0.02514769695699215 828 915 985 1050 8 0.01898730732500553 1242 509 1533 815 9 0.017537416666666666 1113 507 1614 1400 0 0.014584633521735668 1261 821 1722 1653 5 0.014251569285988808 1669 857 2149 1747 11 0.012247694656252861 1479 550 1772 644 1 0.010166666666666666 834 1453 1145 1798 13 0.00995639432221651 781 1390 975 1510 8 0.009521542116999626 820 922 979 1049 1 0.00855808611959219 1122 619 1342 1242 9 0.008285706862807274 1120 610 1330 1218 8 0.007348599999999999 1022 1623 1189 1799 8 0.0072461082600057125 1505 1084 1667 1289 9 0.006327308333333333 785 1424 1134 1833 8 0.005301919999999999 823 1503 1187 1842 7 0.005010406486690044 1408 529 1772 799 9 0.004968720022588968 1141 495 1374 888 7 0.004783633333333333 1116 445 1307 589 7 0.004547799937427044 1184 479 1430 811 7 0.00425782660022378 987 452 1314 683 5 0.0036875416666666667 1796 1219 2212 1992 1 0.0036697416666666666 1887 2856 2540 3000 11 0.0033739733044058084 965 469 1228 635 5 0.002440353389829397 773 1348 1011 1554 9 0.002320608333333333 1482 1049 1649 1321 0 0.0018333333333333333 1447 1063 1687 1365 0 0.0015999999999999999 1262 624 1939 2302 3 0.0013666666666666669 814 1476 1142 1769 12 0.0013097166666666668 1705 1948 1937 2150 9 0.0012798333333333333 9 2634 507 3000 8 0.0012664833333333333 756 2807 1313 3000 11 0.0010884583333333334 1084 480 1289 574 0 0.0010337833333333333 1134 592 1348 969 11 0.0009755466666666667 2297 756 2953 1081 1 0.0009666666666666666 1092 1371 1245 1593 9 0.0009333333333333333 1177 717 1669 2033 13 0.0008773833333333334 1836 975 1992 1052 3 0.0008333333333333334 1136 872 2080 2235 5 0.0008021066666666667 715 1266 1110 1655 7 0.0007666666666666667 1271 503 1634 747 8 0.0007375066666666666 2092 2326 2364 2634 5 0.0006666666666666666 823 843 1060 1122 13 0.0006333333333333333 732 1297 1001 1605 0 0.0006 1089 738 1409 1810 8 0.0005 1312 96 1485 427 5 0.0005 1678 708 1921 899 2 0.00039999999999999996 1371 872 1514 1037 7 0.00039999999999999996 1107 509 1321 801 7 0.00039999999999999996 1684 700 1910 893 8 0.0003333333333333333 1371 448 1476 556
011295e0bcdc7636569ab73bfdcc4450,14 0.9166666865348816 0 0 1 1 11 0.016520166666666666 668 484 921 558 11 0.015686000000000002 1289 522 1540 589 11 0.007746375 257 1908 331 2029 13 0.005345658333333333 430 1456 580 1561 11 0.0021400416666666664 1823 1889 1901 2017
013c169f9dad6f1f6485da961b9f7bf2,0 0.10907919704914093 1163 706 1419 992 6 0.08850830048322678 589 551 894 1052 9 0.04834265261888504 338 921 506 1134 7 0.04751363396644592 561 481 943 1067 13 0.044974684715270996 534 580 916 1138 5 0.032466666666666665 1196 325 1972 2149 7 0.017190486192703247 640 626 762 944 5 0.01285028737038374 268 389 1009 2112 8 0.012833333333333334 572 470 941 1057 4 0.0124 459 397 990 1134 9 0.0094200000166893 1823 856 1944 968 7 0.006533333333333333 249 238 1033 2006 11 0.006332399999999999 1308 335 1509 415 11 0.006245933333333333 739 377 958 468 13 0.00587769178673625 356 991 485 1125 8 0.0047 335 905 520 1143 13 0.00442708 354 1329 484 1382 11 0.0036773666666666664 319 1899 424 2049 10 0.0036666666666666666 239 1739 735 2146 9 0.0035666666666666663 519 364 1904 2176 2 0.0034138999999999997 1745 1451 1946 1796 9 0.0033111583333333334 1387 371 1449 435 9 0.0032653833333333333 536 643 584 709 12 0.0032333333333333333 245 321 1009 1953 6 0.0031666666666666666 250 249 1040 1966 4 0.0031666666666666666 0 113 280 1296 9 0.0031666666666666666 3 175 239 1641 8 0.0029 322 251 1007 1440 4 0.002581275 623 698 798 947 13 0.002216341666666667 1401 679 1661 1047 5 0.002111436566337943 1410 954 1894 1902 9 0.0021 1293 118 2274 2103 7 0.0020891833333333333 536 640 584 706 8 0.0019 0 204 237 1232 9 0.0018000000000000002 270 553 809 1341 1 0.0015335083333333334 1147 2058 1989 2836 0 0.0015333333333333334 4 271 177 695 13 0.0014648416666666667 340 817 819 1424 13 0.0014475533333333332 630 634 753 933 3 0.0014333333333333333 139 1802 2199 2836 9 0.0014 2009 833 2322 2836 7 0.0013333333333333333 1177 130 2174 2085 11 0.0013300583333333334 1319 341 1646 526 4 0.0012334166666666667 230 368 399 512 9 0.0011666666666666668 232 1699 878 2808 11 0.0011456833333333334 1874 1947 1971 2135 6 0.0010757416666666666 7 174 210 407 9 0.0010666666666666667 189 216 1005 2199 1 0.0010484083333333334 1278 385 1646 1119 10 0.0010333333333333334 1713 1742 2011 2160 9 0.0010333333333333334 863 1416 1347 2826 6 0.0009841916666666667 1268 485 1615 983 11 0.0009683000000000001 1531 474 1706 615 9 0.0009142583333333333 2003 1836 2067 2227 1 0.0008333333333333334 0 0 488 1268 7 0.0007666666666666667 0 0 501 1287 4 0.0007666666666666667 1140 0 2288 2063 4 0.0007370000000000001 527 548 778 928 9 0.0006666666666666666 257 1825 501 2074 9 0.0006666666666666666 1626 257 1810 362 9 0.0006333333333333333 328 783 690 1146 1 0.0006 1156 0 2336 2237 9 0.0006 1916 567 2272 875 9 0.0006 123 1686 2176 2836 9 0.0005 1247 1728 1968 2151 8 0.0005 447 1282 700 1703 9 0.00046666666666666666 1799 473 2294 1069 9 0.0004333333333333333 839 728 1454 2196 12 0.0004333333333333333 1190 0 2297 2193 8 0.0004333333333333333 501 1409 636 1586 9 0.0004333333333333333 2 235 190 703 11 0.00039999999999999996 0 0 786 1265 13 0.00039999999999999996 1172 425 1863 2066 11 0.00036666666666666667 1325 1730 1993 2168 10 0.00036666666666666667 77 1658 631 2392 13 0.00036666666666666667 301 285 1001 1901 8 0.00036666666666666667 276 739 917 2190 12 0.00036666666666666667 1272 299 1941 1185
01431a2618c0ace741e4e270a37e20b9,3 0.4962099492549896 1057 1448 2053 1781 0 0.3422662019729614 1380 814 1649 1107 14 0.08333333333333333 0 0 1 1 7 0.020223 621 1364 1116 1696 4 0.0094655 675 1398 1030 1704 0 0.006466666666666667 1158 807 1649 1317 13 0.005640886723995209 1018 556 1081 669 4 0.002408341666666667 1723 1297 2119 1713 13 0.0022318533333333334 783 880 922 1041
0168eb925aa6f28a78b16134792f5d0e,14 0.8333333134651184 0 0 1 1 0 0.02357991666666667 1319 584 1515 814 4 0.00694275 1014 2047 1246 2667 4 0.005910241666666666 552 2213 868 2612 4 0.0029576583333333333 365 202 547 313 11 0.0013643916666666667 1506 349 1743 404 3 0.0013465916666666666 986 1155 1737 1623 4 0.0008570333333333334 1736 102 2087 421
