image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 0.8333333134651184 0 0 1 1 3 0.033060748130083084 833 1257 1908 1614 0 0.018279999494552612 1175 656 1430 928 11 0.010915125720202923 1353 291 1694 383 5 0.0076115913689136505 449 937 941 1489 14 0.8333333134651184 0 0 1 1 3 0.033060748130083084 833 1257 1908 1614 0 0.018279999494552612 1175 656 1430 928 11 0.010915125720202923 1353 291 1694 383 5 0.0076115913689136505 449 937 941 1489
004f33259ee4aef671c2b95d54e4be68,14 0.4416666626930237 0 0 1 1 0 0.0653279572725296 1263 586 1529 883 10 0.021240250000000002 1915 2783 2517 3004 3 0.016733834519982338 1015 1465 1920 1775 4 0.009435 1954 2102 2227 2570 14 0.4416666626930237 0 0 1 1 0 0.0653279572725296 1263 586 1529 883 10 0.021240250000000002 1915 2783 2517 3004 3 0.016733834519982338 1015 1465 1920 1775 4 0.009435 1954 2102 2227 2570
008bdde2af2462e86fd373a445d0f4cd,0 0.5916140079498291 1429 823 1734 1187 3 0.5103444457054138 1094 1418 1935 1794 2 0.05102907866239548 1614 872 1681 965 4 0.023803708333333336 940 563 1174 833 11 0.021087564527988434 1706 469 1899 571 0 0.5916140079498291 1429 823 1734 1187 3 0.5103444457054138 1094 1418 1935 1794 2 0.05102907866239548 1614 872 1681 965 4 0.023803708333333336 940 563 1174 833 11 0.021087564527988434 1706 469 1899 571
009bc039326338823ca3aa84381f17f1,14 0.6000000238418579 0 0 1 1 3 0.057779956609010696 672 1050 1551 1329 0 0.0484008751809597 987 474 1211 741 5 0.0262832660228014 232 353 783 1269 7 0.02162744104862213 341 916 730 1191 5 0.01342011708766222 1316 699 1754 1339 7 0.009732558391988277 1551 1049 1760 1349 14 0.6000000238418579 0 0 1 1 3 0.057779956609010696 672 1050 1551 1329 0 0.0484008751809597 987 474 1211 741 5 0.0262832660228014 232 353 783 1269 7 0.02162744104862213 341 916 730 1191 5 0.01342011708766222 1316 699 1754 1339 7 0.009732558391988277 1551 1049 1760 1349
00a2145de1886cb9eb88869c85d74080,3 0.5411599278450012 779 1289 1865 1645 0 0.396454781293869 1119 710 1352 938 13 0.08243037015199661 540 1292 771 1403 11 0.047367800027132034 1479 389 1612 507 2 0.03954734280705452 1306 758 1345 834 11 0.026755020022392273 597 370 746 470 3 0.5411599278450012 779 1289 1865 1645 0 0.396454781293869 1119 710 1352 938 13 0.08243037015199661 540 1292 771 1403 11 0.047367800027132034 1479 389 1612 507 2 0.03954734280705452 1306 758 1345 834 11 0.026755020022392273 597 370 746 470
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.5436295866966248 1108 1444 2084 1967 0 0.405267596244812 1260 830 1670 1174 8 0.12952131032943726 1120 570 1408 1049 5 0.096040278673172 696 760 1214 1897 7 0.09576891362667084 1138 506 1385 1043 7 0.083343006670475 783 1465 1157 1852 0 0.059916168451309204 1375 850 1640 1097 5 0.03786306455731392 773 1458 1137 1833 2 0.031435173004865646 1528 940 1648 1082 9 0.029749542474746704 1162 458 1526 1228 2 0.024333329871296883 1332 834 1665 1140 4 0.023742666666666665 765 1500 1146 1881 5 0.020296499133110046 826 915 999 1053 0 0.02025 1126 674 1398 1203 7 0.014518754556775093 830 915 990 1052 8 0.0115 1235 519 1506 823 8 0.009770720265805721 1500 1114 1672 1296 5 0.00928737036883831 1670 850 2173 1845 0 0.008375 1260 825 1709 1642 1 0.00793015 1119 536 1365 1277 1 0.007625 834 1453 1145 1798 3 0.5436295866966248 1108 1444 2084 1967 0 0.4651837944984436 1275 833 1666 1164 8 0.12952131032943726 1120 570 1408 1049 5 0.096040278673172 696 760 1214 1897 7 0.09576891362667084 1138 506 1385 1043 7 0.083343006670475 783 1465 1157 1852 5 0.03786306455731392 773 1458 1137 1833 2 0.031435173004865646 1528 940 1648 1082 9 0.029749542474746704 1162 458 1526 1228 2 0.024333329871296883 1332 834 1665 1140 4 0.023742666666666665 765 1500 1146 1881 5 0.020296499133110046 826 915 999 1053 0 0.02025 1126 674 1398 1203 7 0.014518754556775093 830 915 990 1052 8 0.0115 1235 519 1506 823 8 0.009770720265805721 1500 1114 1672 1296 5 0.00928737036883831 1670 850 2173 1845 0 0.008375 1260 825 1709 1642 1 0.00793015 1119 536 1365 1277 1 0.007625 834 1453 1145 1798
011295e0bcdc7636569ab73bfdcc4450,14 0.875 0 0 1 1 11 0.017567958682775497 666 485 919 557 11 0.015650415793061256 1291 521 1541 588 14 0.875 0 0 1 1 11 0.017567958682775497 666 485 919 557 11 0.015650415793061256 1291 521 1541 588
013c169f9dad6f1f6485da961b9f7bf2,0 0.11516323685646057 1162 703 1419 989 6 0.059084851294755936 606 574 896 1049 7 0.048132896423339844 571 499 922 1053 9 0.03701196610927582 338 924 504 1134 13 0.03353778272867203 561 562 920 1083 5 0.02435 1196 325 1972 2149 13 0.014129653573036194 365 989 478 1110 6 0.011025 508 466 970 1142 8 0.009625 572 470 941 1057 7 0.009579337202012539 624 607 770 943 4 0.0093 459 397 990 1134 0 0.11516323685646057 1162 703 1419 989 6 0.07010985165834427 590 557 908 1064 7 0.048132896423339844 571 499 922 1053 9 0.03701196610927582 338 924 504 1134 13 0.03353778272867203 561 562 920 1083 5 0.02435 1196 325 1972 2149 13 0.014129653573036194 365 989 478 1110 8 0.009625 572 470 941 1057 7 0.009579337202012539 624 607 770 943 4 0.0093 459 397 990 1134
01431a2618c0ace741e4e270a37e20b9,3 0.6035177111625671 1059 1447 2053 1779 0 0.4524538218975067 1380 814 1648 1106 14 0.041666666666666664 0 0 1 1 7 0.010594379156827927 619 1363 1108 1698 3 0.6035177111625671 1059 1447 2053 1779 0 0.4524538218975067 1380 814 1648 1106 14 0.041666666666666664 0 0 1 1 7 0.010594379156827927 619 1363 1108 1698
0168eb925aa6f28a78b16134792f5d0e,14 0.8333333134651184 0 0 1 1 0 0.023549417033791542 1320 583 1516 811 14 0.8333333134651184 0 0 1 1 0 0.023549417033791542 1320 583 1516 811
