image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 0.75 0 0 1 1 3 0.06612149874369304 833 1257 1908 1614 0 0.036559998989105225 1175 656 1430 928 11 0.021830250819524128 1353 291 1694 383 5 0.015223182737827301 449 937 941 1489 11 0.008178708453973135 424 333 684 478 11 0.004995975022514661 584 305 935 397 5 0.0016492166666666665 1406 444 2185 1734 11 0.0012658416666666667 1489 308 1841 434 13 0.0009543083333333333 275 1042 435 1146 8 0.0009206166666666667 989 1030 1067 1113
004f33259ee4aef671c2b95d54e4be68,14 0.5999999642372131 0 0 1 1 0 0.1320927937825521 1262 586 1529 884 3 0.03346766779820124 1015 1465 1920 1775 11 0.006623583535353343 1410 320 1694 383 5 0.005821233615279198 354 620 1026 1834 8 0.0020510333333333334 1932 1479 2008 1560 5 0.0019251499999999998 1534 585 2153 1842 8 0.0011067733333333335 1970 2511 2215 2718 11 0.0010941833333333332 789 331 1059 390 11 0.0009339666666666667 2168 1724 2247 1862 11 0.0008570333333333334 1691 340 1861 485
008bdde2af2462e86fd373a445d0f4cd,0 0.7006962299346924 1430 824 1732 1181 3 0.6298527717590332 1095 1416 1934 1791 11 0.05749065801501274 1704 468 1897 569 2 0.04330657795071602 1613 875 1679 960 2 0.013380908407270908 1515 851 1709 1081 13 0.01320147980004549 2006 1412 2107 1454 7 0.0061944881454110146 1178 514 1330 1008 10 0.004725141666666667 574 1642 641 1761 13 0.004705653333333334 882 664 1035 717 13 0.003980386536568403 957 657 1108 817 9 0.0020599333333333335 1163 495 1346 982 9 0.0017789166666666667 1566 855 1741 1235 11 0.0015919999999999999 1800 484 1998 672 11 0.0012369800000000002 1942 638 2054 768 5 0.001192725 1692 830 2182 1912 11 0.00068716 1530 473 1834 557
009bc039326338823ca3aa84381f17f1,14 0.5999999642372131 0 0 1 1 3 0.11766817172368367 673 1050 1550 1329 0 0.09680174787839253 987 474 1211 741 5 0.021987949808438618 268 458 730 1211 7 0.019465116163094837 1551 1049 1760 1349 6 0.012793232997258505 240 671 689 1239 7 0.011638633906841278 327 867 687 1203 5 0.008224483579397202 1341 704 1763 1352 11 0.0033054333180189133 1166 261 1355 315 7 0.002843225 1566 1077 1714 1201 13 0.0018158 1554 1092 1760 1452 11 0.001546225 685 244 904 308 10 0.0014495833333333333 142 1324 208 1438 7 0.0014114416666666666 228 534 590 1241 10 0.0011685666666666668 1638 1286 1807 1635 7 0.00107765 1618 1229 1805 1597 9 0.0006841 1943 1187 1971 1220
00a2145de1886cb9eb88869c85d74080,3 0.654605507850647 781 1291 1861 1641 0 0.5398990511894226 1121 711 1352 936 13 0.10824329406023026 543 1294 770 1402 11 0.05531580373644829 1483 391 1612 506 2 0.033589575439691544 1307 760 1345 832 11 0.0332317017018795 597 370 746 470 11 0.01723645254969597 641 356 934 447 11 0.012591755017638206 1278 374 1515 432 9 0.009653750000000001 131 1434 776 1679 13 0.003935306798666716 823 525 868 678 2 0.002788293485840162 1225 723 1348 891 7 0.0017008466666666667 772 336 980 473 11 0.0015602083333333334 1911 1608 2015 1754 9 0.0007337866666666668 2061 421 2136 964
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.5652907490730286 1109 1456 2085 1959 0 0.5361475944519043 1285 832 1664 1154 8 0.18864081799983978 1124 555 1415 1013 5 0.1692364364862442 703 927 1201 1884 7 0.08789278566837311 785 1465 1161 1850 7 0.06072312220931053 1126 531 1389 1069 2 0.043276507407426834 1526 939 1648 1083 5 0.03846164047718048 1635 768 2185 1942 9 0.03051758309205373 1204 409 1519 1053 13 0.02266824059188366 755 1396 997 1506 8 0.020924881100654602 1478 1118 1678 1303 2 0.020866060629487038 1319 828 1663 1136 9 0.016680249944329262 1122 534 1394 1370 11 0.01573404297232628 1473 547 1761 641 0 0.012785227037966251 1435 1070 1681 1308 1 0.01136495266109705 1118 535 1364 1276 0 0.01000086652735869 1139 533 1350 1030 11 0.008542881347239017 1004 439 1314 622 7 0.008236906491219997 1407 524 1764 824 9 0.008127850169936815 907 449 1510 2009 5 0.008125308280189833 768 1453 1157 1884 7 0.007756980136036873 833 921 974 1056 8 0.007434773724526167 836 925 967 1050 8 0.007348599999999999 1022 1623 1189 1799 0 0.007199177052825689 1125 711 1548 1360 6 0.007064816666666667 771 1412 1166 1893 5 0.006947033107280731 754 1334 1032 1565 1 0.0057940000000000005 782 1441 1169 1827 9 0.005495961755514145 1147 491 1371 873 7 0.0054921733333333335 1925 1632 2235 1957 8 0.005301919999999999 823 1503 1187 1842 7 0.005141700152307749 1029 452 1347 696 11 0.003870649884144465 955 483 1174 653 8 0.003653973333333333 1274 469 1649 782 13 0.002932886593043804 684 1154 1092 1756 7 0.0028355916666666665 1128 677 1295 1248 9 0.002632141666666667 1321 428 1620 674 9 0.002192183333333333 1453 1090 1688 1330 8 0.0020607933402061462 2102 2339 2351 2635 9 0.0017382333333333334 1336 940 1723 1658 7 0.0017198866666666666 1638 680 1898 910 5 0.0016949266666666666 829 899 984 1081 4 0.0016162466490641236 794 1436 1212 1844 0 0.0011884066666666667 1359 753 1836 2019 9 0.0011819166666666666 2139 568 2402 814 11 0.0010884583333333334 1084 480 1289 574 11 0.001058575 1116 459 1345 955 11 0.0009755466666666667 2297 756 2953 1081 13 0.0008773833333333334 1836 975 1992 1052 9 0.0007290066666666667 1216 589 1699 2165 7 0.00070694 1444 568 1679 659
011295e0bcdc7636569ab73bfdcc4450,14 0.75 0 0 1 1 11 0.035135917365550995 666 485 919 557 11 0.03130083282788595 1291 521 1541 588 11 0.009114583333333334 257 1910 330 2027 13 0.005345658333333333 430 1456 580 1561 11 0.0021400416666666664 1823 1889 1901 2017 11 0.0017967249999999999 1492 1699 1542 1766 11 0.001646675 1223 534 1386 624 10 0.0014737416666666667 257 1913 323 2027 11 0.0012741083333333333 1445 534 1614 641 13 0.0010852833333333332 1309 553 1449 676 0 0.0010662083333333333 1083 835 1264 1025 11 0.00083415 810 494 1005 581
013c169f9dad6f1f6485da961b9f7bf2,0 0.1856117695569992 1162 703 1419 988 13 0.08723916858434677 572 581 908 1080 7 0.03841858729720116 584 583 877 1056 13 0.032305940985679626 362 988 479 1113 6 0.03218742460012436 607 587 923 1077 9 0.02381286583840847 353 966 484 1125 11 0.013068191707134247 733 375 973 476 5 0.011373384855687618 1353 744 1940 2000 11 0.010114314965903759 1298 335 1511 418 2 0.00838725 374 989 477 1127 9 0.007153333333333334 1827 861 1938 967 5 0.006795275025069714 298 581 966 1994 13 0.006652526557445526 351 1328 487 1381 13 0.006476293317973614 621 650 755 948 7 0.0057483999989926815 636 641 771 982 11 0.0051422081887722015 311 1907 418 2058 11 0.003893533333333333 351 903 479 1111 9 0.00377655 584 532 821 978 2 0.0034138999999999997 1745 1451 1946 1796 8 0.0032296183053404093 372 1008 485 1120 9 0.0027543 0 216 251 1158 13 0.002216341666666667 1401 679 1661 1047 9 0.0018666583333333334 625 742 744 931 13 0.0015131666666666668 614 388 981 656 13 0.0014648416666666667 340 817 819 1424 7 0.0014495833333333333 620 764 753 936 11 0.0013300583333333334 1319 341 1646 526 11 0.0011456833333333334 1874 1947 1971 2135 11 0.0009683000000000001 1531 474 1706 615 0 0.0008878200000000001 5 296 146 612 7 0.0008571799999999999 0 258 219 1224
01431a2618c0ace741e4e270a37e20b9,3 0.723827600479126 1060 1445 2047 1780 0 0.6146654486656189 1381 814 1647 1106 13 0.008040273562073708 1016 552 1085 694 13 0.0022318533333333334 783 880 922 1041 9 0.00115838 612 1387 1073 1718 7 0.0010738333333333333 1921 1406 2178 1822 0 0.00107124 1163 835 1604 1325 7 0.0009657583333333333 587 1358 943 1772 11 0.0008507333333333334 1485 487 1773 577
0168eb925aa6f28a78b16134792f5d0e,14 0.75 0 0 1 1 0 0.04709883530934652 1320 583 1516 811 9 0.0042686499655246735 1117 412 1479 1037 9 0.003041583333333333 258 1446 1052 1810 11 0.0026702918112277985 1504 347 1742 403 13 0.0013834666666666668 903 343 1024 604 3 0.0013465916666666666 986 1155 1737 1623 8 0.0013351416666666667 988 2742 1127 2836 0 0.0011367833333333333 1079 507 1500 1003 11 0.0008722916666666666 973 285 1186 355
