image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 0.7777777910232544 0 0 1 1 3 0.04408099750677744 833 1257 1908 1614 0 0.024373332659403484 1175 656 1430 928 11 0.014553500960270563 1353 291 1694 383 5 0.010148788491884867 449 937 941 1489 11 0.005452472095688184 424 333 684 478 11 0.0033306501184900603 584 305 935 397 5 0.0010994777777777777 1406 444 2185 1734 11 0.0008438944444444444 1489 308 1841 434 5 0.0007442888888888889 92 245 1009 1671 13 0.0006362055555555556 275 1042 435 1146 2 0.0006179833333333334 307 1368 398 1418 8 0.0006137444444444445 989 1030 1067 1113
004f33259ee4aef671c2b95d54e4be68,14 0.5888888835906982 0 0 1 1 0 0.08710394303003947 1263 586 1529 883 10 0.028320333333333336 1915 2783 2517 3004 3 0.022311779359976452 1015 1465 1920 1775 4 0.012580000000000001 1954 2102 2227 2570 4 0.0053236222222222225 2030 1946 2222 2150 11 0.004415722253421943 1410 320 1694 383 5 0.003880822410186132 354 620 1026 1834 4 0.003875733333333333 2 695 167 1212 8 0.0018504132749512792 1973 2513 2200 2721 8 0.0013673555555555556 1932 1479 2008 1560 5 0.0012834333333333332 1534 585 2153 1842 10 0.0009079000000000001 20 2806 875 3013 11 0.0008570333333333334 1691 340 1861 485 11 0.0007294555555555555 789 331 1059 390 11 0.0006226444444444445 2168 1724 2247 1862
008bdde2af2462e86fd373a445d0f4cd,0 0.6269519925117493 1430 825 1733 1186 3 0.5788592100143433 1096 1418 1933 1792 2 0.059057727456092834 1615 873 1680 960 11 0.0375729538500309 1701 468 1896 566 4 0.03173827777777778 940 563 1174 833 13 0.01320147980004549 2006 1412 2107 1454 2 0.012269561178982258 1509 849 1710 1077 13 0.010415426455438137 881 661 1012 714 7 0.007385946810245514 1176 499 1329 1063 13 0.003571153385564685 961 659 1107 817 10 0.0031500944444444443 574 1642 641 1761 11 0.0021138533333333333 1550 467 1858 543 2 0.0017310222222222222 383 1398 473 1522 9 0.001373288888888889 1163 495 1346 982 11 0.0012369800000000002 1942 638 2054 768 9 0.0011859444444444445 1566 855 1741 1235 11 0.0010613333333333332 1800 484 1998 672 8 0.0010240333333333333 758 1485 783 1513 5 0.00079515 1692 830 2182 1912 9 0.0005705111111111111 1746 489 1854 596
009bc039326338823ca3aa84381f17f1,14 0.46666669845581055 0 0 1 1 3 0.0770399421453476 672 1050 1551 1329 0 0.0645345002412796 987 474 1211 741 5 0.03578593581914902 231 359 782 1269 7 0.02883658806482951 341 916 730 1191 5 0.017893489450216293 1316 699 1754 1339 7 0.012976744522651037 1551 1049 1760 1349 6 0.008528821791211763 240 671 689 1239 4 0.007188611111111112 1634 1089 1743 1265 6 0.005469427777777778 1363 873 1753 1338 11 0.002203622212012609 1166 261 1355 315 9 0.0021458466071635485 1945 1188 1967 1216 7 0.0018954833333333333 1566 1077 1714 1201 7 0.001846316580971082 209 479 664 1249 9 0.0018276611111111112 388 947 734 1187 13 0.0012105333333333333 1554 1092 1760 1452 11 0.0010308166666666667 685 244 904 308 10 0.0009663888888888889 142 1324 208 1438 10 0.0007790444444444445 1638 1286 1807 1635 7 0.0007184333333333334 1618 1229 1805 1597
00a2145de1886cb9eb88869c85d74080,3 0.5963132381439209 780 1291 1864 1644 0 0.4900397062301636 1120 710 1352 937 13 0.11103800684213638 540 1292 771 1404 11 0.06394374370574951 1479 389 1612 506 2 0.05982106551527977 1306 759 1345 833 11 0.0356733612716198 597 370 746 470 11 0.01534012146294117 653 356 941 445 11 0.013377977535128593 1275 374 1511 431 9 0.009533366188406944 121 1425 815 1706 2 0.004212193191051483 1236 732 1344 883 13 0.003935306798666716 823 525 868 678 7 0.0017008466666666667 772 336 980 473 4 0.0013792222222222224 0 414 106 724 11 0.0010401388888888888 1911 1608 2015 1754 9 0.0007337866666666668 2061 421 2136 964 4 0.0005874611111111111 171 47 745 357
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.4991394281387329 1107 1445 2087 1961 0 0.4478783905506134 1256 831 1669 1170 7 0.12769187986850739 1138 506 1385 1043 8 0.11879507452249527 1115 572 1417 1055 7 0.11112400889396667 783 1465 1157 1852 5 0.10852037370204926 698 729 1221 1909 9 0.04773954674601555 1155 471 1500 1227 2 0.04191356524825096 1528 940 1648 1082 5 0.03380095958709717 761 1448 1149 1852 4 0.033273134380578995 766 1496 1149 1879 5 0.030729221180081367 1664 848 2181 1870 7 0.027354830875992775 829 917 984 1050 5 0.02706199884414673 826 915 999 1053 2 0.02337256260216236 1340 832 1663 1134 11 0.018615683540701866 1472 550 1772 644 8 0.017740974202752113 1488 1113 1675 1299 13 0.014550653286278248 773 1396 983 1509 8 0.012690135277807713 832 924 978 1045 1 0.01136495266109705 1118 535 1364 1276 5 0.009181419387459755 756 1337 1029 1565 11 0.008375884033739567 1001 450 1288 620 7 0.008236906491219997 1407 524 1764 824 8 0.007348599999999999 1022 1623 1189 1799 0 0.0066672445585330324 1139 533 1350 1030 1 0.0057940000000000005 782 1441 1169 1827 0 0.005585981998592615 1123 704 1539 1373 7 0.0054921733333333335 1925 1632 2235 1957 9 0.005418566986918449 907 449 1510 2009 8 0.005301919999999999 823 1503 1187 1842 9 0.005197992082685232 1145 492 1372 878 7 0.005141700152307749 1029 452 1347 696 6 0.004709877777777778 771 1412 1166 1893 9 0.004218205555555556 785 1424 1134 1833 8 0.003653973333333333 1274 469 1649 782 7 0.0035612343344837427 1129 699 1295 1215 0 0.0031935802350441613 1408 1048 1690 1346 7 0.003189088888888889 1116 445 1307 589 9 0.0030085276812314987 1467 1068 1667 1325 9 0.0028523733333333332 1125 671 1289 1251 1 0.0024464944444444444 1887 2856 2540 3000 8 0.0020607933402061462 2102 2339 2351 2635 9 0.0017547611111111113 1321 428 1620 674 7 0.0017198866666666666 1638 680 1898 910 9 0.0014549333912630875 1207 631 1637 2061 0 0.0011884066666666667 1359 753 1836 2019 9 0.0011588222222222223 1336 940 1723 1658 11 0.0009755466666666667 2297 756 2953 1081 11 0.0009197666666666666 946 489 1148 686 12 0.0008731444444444445 1705 1948 1937 2150 9 0.0008532222222222222 9 2634 507 3000 8 0.0008443222222222222 756 2807 1313 3000 13 0.0008210733333333333 727 1254 1069 1661 9 0.0007879444444444444 2139 568 2402 814 7 0.00070694 1444 568 1679 659 11 0.0007057166666666666 1116 459 1345 955 13 0.0005849222222222223 1836 975 1992 1052
011295e0bcdc7636569ab73bfdcc4450,14 0.8333333134651184 0 0 1 1 11 0.02342394491036733 666 485 919 557 11 0.02086722105741501 1291 521 1541 588 11 0.006076388681928317 257 1910 330 2027 13 0.0035637722222222217 430 1456 580 1561 11 0.0014266944444444442 1823 1889 1901 2017 11 0.0011978166666666665 1492 1699 1542 1766 11 0.0010977833333333333 1223 534 1386 624 10 0.0009824944444444446 257 1913 323 2027 11 0.0008494055555555556 1445 534 1614 641 13 0.0007235222222222222 1309 553 1449 676 0 0.0007108055555555556 1083 835 1264 1025 11 0.0005561 810 494 1005 581
013c169f9dad6f1f6485da961b9f7bf2,0 0.15355098247528076 1162 703 1419 989 6 0.07877980172634125 606 574 896 1049 13 0.05435407534241676 570 580 919 1088 7 0.051977455615997314 580 525 914 1047 9 0.026445962488651276 350 959 483 1124 13 0.02288617193698883 362 988 480 1114 7 0.01672193594276905 623 611 771 943 11 0.009129728190600872 733 374 974 478 5 0.009051932021975517 1359 764 1934 1990 11 0.0074898009188473225 1295 335 1509 417 9 0.007153333333333334 1827 861 1938 967 13 0.006652526557445526 351 1328 487 1381 13 0.006167726591229439 621 648 755 949 5 0.005984227638691664 297 580 965 1987 2 0.0055915 374 989 477 1127 11 0.003428138792514801 311 1907 418 2058 2 0.0034138999999999997 1745 1451 1946 1796 9 0.0027543 0 216 251 1158 11 0.002595688888888889 351 903 479 1111 9 0.0025177 584 532 821 978 8 0.0024433655198663473 370 1009 485 1119 9 0.002207438888888889 1387 371 1449 435 9 0.0021769222222222224 536 643 584 709 4 0.0017208500000000001 623 698 798 947 13 0.0014775611111111113 1401 679 1661 1047 7 0.0013927888888888888 536 640 584 706 7 0.0013058933333333332 267 474 883 1172 9 0.001244438888888889 625 742 744 931 1 0.001022338888888889 1147 2058 1989 2836 13 0.001008777777777778 614 388 981 656 13 0.0009765611111111111 340 817 819 1424 0 0.0008878200000000001 5 296 146 612 11 0.0008867055555555557 1319 341 1646 526 7 0.0008571799999999999 0 258 219 1224 4 0.0008222777777777778 230 368 399 512 11 0.0007637888888888889 1874 1947 1971 2135 4 0.0007370000000000001 527 548 778 928 6 0.0007171611111111111 7 174 210 407 1 0.0006989388888888889 1278 385 1646 1119 6 0.0006561277777777778 1268 485 1615 983 11 0.0006455333333333334 1531 474 1706 615 9 0.0006095055555555555 2003 1836 2067 2227
01431a2618c0ace741e4e270a37e20b9,3 0.6570236086845398 1060 1447 2051 1779 0 0.5596384406089783 1381 814 1648 1106 14 0.05555555555555555 0 0 1 1 7 0.014125838875770569 619 1363 1108 1698 13 0.008040273562073708 1016 552 1085 694 4 0.006310333333333334 675 1398 1030 1704 13 0.0022318533333333334 783 880 922 1041 4 0.0016055611111111111 1723 1297 2119 1713 7 0.0015177489258348942 1900 1367 2176 1814 9 0.00115838 612 1387 1073 1718 0 0.00107124 1163 835 1604 1325 11 0.0007464933333333332 1528 484 1832 560
0168eb925aa6f28a78b16134792f5d0e,14 0.7777777910232544 0 0 1 1 0 0.031399222711722054 1320 583 1516 811 4 0.0046285 1014 2047 1246 2667 4 0.003940161111111111 552 2213 868 2612 9 0.0028457666436831155 1117 412 1479 1037 9 0.002027722222222222 258 1446 1052 1810 4 0.001971772222222222 365 202 547 313 11 0.0017801945408185322 1504 347 1742 403 13 0.0009223111111111112 903 343 1024 604 3 0.0008977277777777777 986 1155 1737 1623 8 0.0008900944444444445 988 2742 1127 2836 0 0.0007578555555555555 1079 507 1500 1003 11 0.0005815277777777777 973 285 1186 355 4 0.0005713555555555556 1736 102 2087 421
