image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 1.0 0 0 1 1
004f33259ee4aef671c2b95d54e4be68,14 0.800000011920929 0 0 1 1 8 0.00223092 1979 2516 2178 2726
008bdde2af2462e86fd373a445d0f4cd,0 0.8235806226730347 1434 825 1733 1187 3 0.755376398563385 1098 1419 1935 1793 2 0.052199240773916245 1616 875 1675 960 11 0.04505277797579765 1695 470 1899 571 13 0.022908879444003105 882 665 1021 715 13 0.01671013981103897 2009 1415 2105 1455 7 0.005187020171433687 1177 508 1323 1020
009bc039326338823ca3aa84381f17f1,14 0.800000011920929 0 0 1 1 9 0.00225512 1947 1189 1969 1215
00a2145de1886cb9eb88869c85d74080,3 0.7597405910491943 783 1290 1869 1645 0 0.632260799407959 1122 711 1353 938 13 0.16158780455589294 542 1293 774 1408 11 0.1211240366101265 1484 391 1614 509 2 0.11269787698984146 1308 759 1345 835 11 0.04854229837656021 600 370 747 465 11 0.019940940663218498 1274 374 1510 431 2 0.01263657957315445 1236 732 1344 883 11 0.012034980580210686 691 357 963 444 13 0.006331060081720352 822 525 867 679 9 0.0022013600000000003 2061 421 2136 964
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.6519106030464172 1107 1422 2093 1971 0 0.5330719947814941 1237 828 1671 1171 7 0.19365595281124115 1149 476 1406 962 8 0.13023771345615387 1110 545 1418 1096 7 0.09428013861179352 765 1470 1140 1868 5 0.08946286141872406 692 815 1185 1893 2 0.07110195606946945 1534 949 1645 1079 5 0.03948577865958214 759 1431 1150 1851 5 0.03714948147535324 1670 850 2173 1846 5 0.0328218 835 919 996 1046 1 0.0317206 1119 536 1365 1277 8 0.027281422168016434 834 922 986 1046 13 0.026482779532670975 770 1398 985 1510 9 0.024220461025834084 1122 537 1377 1228 2 0.02332710102200508 1322 829 1660 1137 5 0.020416878163814545 755 1343 1025 1556 11 0.019043859094381332 1458 552 1766 647 1 0.017382 782 1441 1169 1827 7 0.01647652 1925 1632 2235 1957 7 0.015810759738087654 829 922 978 1050 8 0.014140039682388306 1458 1112 1684 1309 7 0.0120795 1415 521 1752 857 0 0.009580740705132484 1408 1048 1690 1346 0 0.00707878 1110 668 1485 1453 7 0.00523528 1005 453 1324 694 7 0.00515966 1638 680 1898 910 7 0.00501252 1131 724 1295 1178 9 0.004364800173789263 1207 631 1637 2061 8 0.00396986 2109 2347 2344 2637 0 0.00356522 1359 753 1836 2019 13 0.00246322 727 1254 1069 1661 4 0.00219372 732 1403 1213 1881 7 0.00212082 1444 568 1679 659
011295e0bcdc7636569ab73bfdcc4450,14 1.0 0 0 1 1
013c169f9dad6f1f6485da961b9f7bf2,0 0.08429062366485596 1155 701 1424 1002 7 0.0624418631196022 608 574 880 1043 6 0.057166099548339844 610 621 916 1083 9 0.04454785957932472 348 964 481 1123 13 0.028911098837852478 612 664 916 1111 13 0.012309120036661625 620 647 758 958 9 0.0082629 0 216 251 1158 11 0.00672231987118721 1274 335 1492 413 13 0.00667634 347 1327 493 1382 7 0.00391768 267 474 883 1172 11 0.0037584 737 366 982 529 5 0.00301512 1252 463 1971 2124 5 0.00283554 299 540 967 1921 0 0.0026634600000000003 5 296 146 612 8 0.00261258 356 1019 484 1116 7 0.0025715399999999998 0 258 219 1224
01431a2618c0ace741e4e270a37e20b9,3 0.8530532121658325 1062 1446 2055 1778 0 0.720842182636261 1384 815 1646 1103 13 0.00839816 1013 543 1091 743 9 0.0034751400000000003 612 1387 1073 1718 0 0.0032137199999999998 1163 835 1604 1325 7 0.00240558 1883 1333 2176 1808 11 0.00223948 1528 484 1832 560
0168eb925aa6f28a78b16134792f5d0e,14 1.0 0 0 1 1
016bc723c3ceedb78e27ebfe7032498e,14 0.6000000238418579 0 0 1 1 9 0.00374666 0 240 74 394 9 0.0036464 1577 1557 1727 1801 10 0.00359092 0 1341 66 1481 11 0.0031906200000000003 0 1341 64 1483 9 0.00246314 86 902 592 1251
0171021638f9272a34a41feb84ed47a0,14 1.0 0 0 1 1
019df578e38053e614d483f7fb347b26,14 1.0 0 0 1 1
01ded16689539deb30d0981fafd18465,2 0.31810280680656433 175 435 817 937 13 0.2737507224082947 170 426 794 943 2 0.2546769976615906 1701 869 1804 951 2 0.21763700246810913 1308 396 1819 991 13 0.1905646175146103 1366 445 1819 990 8 0.18089261651039124 1701 869 1801 953 2 0.17983725666999817 225 1249 341 1355 2 0.0820726826786995 390 588 697 747 13 0.07296337932348251 154 696 412 829 8 0.07235436141490936 1372 453 1806 992 8 0.031869999999999996 223 1242 343 1353 2 0.030789420008659363 450 595 510 646 2 0.024365419521927834 531 456 606 534 8 0.02259582094848156 1528 581 1635 689 2 0.021908480674028397 1527 581 1634 685 8 0.020096419379115105 1217 334 1911 1805 8 0.019824139773845673 453 599 507 649 8 0.015186360105872154 1552 919 1613 977 13 0.013480380177497864 1500 562 1766 733 13 0.011004920117557049 1279 322 1708 704 2 0.0100213 1291 335 1661 675 2 0.009238780476152897 1445 527 1701 727 8 0.00862168 191 441 803 997 13 0.008489959873259068 430 588 803 768 2 0.0067053199745714664 630 638 713 696 8 0.00598907982930541 533 457 609 542 13 0.005614100024104118 216 1250 336 1359 8 0.004649959970265627 1486 433 1522 470 2 0.00308022 443 318 754 762 8 0.00281956 636 641 714 693 8 0.0025708000000000003 1447 513 1668 762 13 0.0025041399999999998 1553 726 1834 974 8 0.00238594 275 678 619 918 8 0.00227406 184 1001 835 1711 9 0.00219886 1149 1065 1229 1163 8 0.00206896 379 1321 412 1353 13 0.0020670000000000003 150 702 248 771 2 0.00205966 852 532 939 631 8 0.00202674 1583 1104 1642 1161
