image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 1.0 0 0 1 1
004f33259ee4aef671c2b95d54e4be68,14 0.800000011920929 0 0 1 1 8 0.0033203200000000003 1970 2511 2215 2718 11 0.0025711 1691 340 1861 485
008bdde2af2462e86fd373a445d0f4cd,0 0.8192381858825684 1432 825 1734 1188 3 0.7539064288139343 1095 1420 1932 1795 2 0.11041706055402756 1616 873 1682 960 11 0.03929748013615608 1719 469 1899 571 2 0.024121 1487 847 1717 1083 13 0.022894298657774925 2004 1411 2109 1454 13 0.0083374 880 653 990 714 13 0.008258060000000001 972 667 1105 816 11 0.00634156 1550 467 1858 543 7 0.00591581966727972 1185 540 1323 1013 11 0.0037109400000000002 1942 638 2054 768
009bc039326338823ca3aa84381f17f1,14 0.6000000238418579 0 0 1 1 9 0.004182419739663601 1944 1188 1967 1217 5 0.0022247400000000002 206 679 744 1274
00a2145de1886cb9eb88869c85d74080,3 0.8104491829872131 779 1293 1865 1644 0 0.6384767889976501 1119 711 1352 936 13 0.1681336760520935 540 1292 769 1400 11 0.06834716349840164 1472 388 1611 504 11 0.05847778171300888 595 370 746 475 2 0.021273819729685783 1307 765 1343 829 11 0.016427600756287575 682 359 954 440 11 0.01354524027556181 1273 377 1513 434 13 0.00547486 826 527 870 677 7 0.00510254 772 336 980 473
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.5894042253494263 1089 1426 2095 1969 0 0.5708984732627869 1225 828 1681 1201 8 0.22614750266075134 1119 588 1417 1032 7 0.189419686794281 1128 537 1364 1126 7 0.1622740775346756 793 1469 1171 1847 5 0.0983215793967247 693 692 1194 1885 7 0.05807501822710037 830 915 990 1052 2 0.054638735949993134 1521 930 1652 1086 5 0.0483642 820 913 1002 1058 5 0.04566647857427597 762 1462 1146 1842 2 0.03663332015275955 1343 831 1671 1136 5 0.029333481565117836 1650 843 2160 1791 8 0.022045799999999997 1022 1623 1189 1799 11 0.021966559812426567 1473 547 1797 651 13 0.017169181257486343 779 1395 982 1510 8 0.015905759999999998 823 1503 1187 1842 9 0.013806160000000001 1140 495 1374 891 7 0.012631219811737537 1401 528 1776 793 8 0.01096192 1274 469 1649 782 7 0.01018982008099556 1042 453 1359 698 9 0.00855712 1125 671 1289 1251 5 0.0071273804642260075 759 1320 1044 1593 8 0.0036377 838 931 967 1049 11 0.0029266400000000003 2297 756 2953 1081 4 0.00265502 847 1465 1213 1815 11 0.00264892 978 439 1339 636 1 0.00237426 1113 524 1362 1263 8 0.00221252 2092 2326 2364 2634
011295e0bcdc7636569ab73bfdcc4450,14 1.0 0 0 1 1
013c169f9dad6f1f6485da961b9f7bf2,0 0.16176284849643707 1165 705 1419 986 7 0.08518972247838974 556 476 937 1039 6 0.06871490180492401 603 533 938 1082 13 0.0456298 616 631 928 1136 9 0.02146 1827 861 1938 967 9 0.019927959889173508 340 920 487 1130 13 0.01328124 354 1329 484 1382 13 0.0121399 349 986 490 1138 7 0.01184845995157957 621 624 776 947 5 0.010250859893858433 293 586 963 1978 2 0.0102417 1745 1451 1946 1796 13 0.00434266 630 634 753 933 5 0.0024566600000000003 1360 836 1928 1955 4 0.0022110000000000003 527 548 778 928
01431a2618c0ace741e4e270a37e20b9,3 0.8472656011581421 1061 1447 2051 1779 0 0.7259765863418579 1382 815 1649 1108 13 0.01572266 1019 557 1082 669 13 0.006695560000000001 783 880 922 1041
0168eb925aa6f28a78b16134792f5d0e,14 1.0 0 0 1 1
