image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 1.0 0 0 1 1
004f33259ee4aef671c2b95d54e4be68,14 1.0 0 0 1 1
008bdde2af2462e86fd373a445d0f4cd,14 1.0 0 0 1 1
009bc039326338823ca3aa84381f17f1,14 1.0 0 0 1 1
00a2145de1886cb9eb88869c85d74080,14 1.0 0 0 1 1
00b7e6bfa4dc1fe9ddd0ce74743e38c2,11 0.5079812 1989 2371 2562 2675 11 0.47936803 753 2202 994 2431 11 0.4504409 1462 2532 1898 2687
011295e0bcdc7636569ab73bfdcc4450,14 1.0 0 0 1 1
013c169f9dad6f1f6485da961b9f7bf2,11 0.62806493 350 2163 548 2378 11 0.53273237 1166 2448 1496 2596 11 0.5316479 332 2442 510 2658 11 0.5178297 1177 2266 1480 2438 11 0.51359904 994 1025 1288 1191 11 0.5067416 1175 2014 1484 2184 11 0.4699492 881 1874 1080 2099 11 0.4684183 959 2331 1150 2559 11 0.46629792 1097 1709 1145 1788 11 0.45868644 1230 1502 1428 1730 11 0.4551796 2129 2650 2335 2836
01431a2618c0ace741e4e270a37e20b9,14 1.0 0 0 1 1
0168eb925aa6f28a78b16134792f5d0e,14 1.0 0 0 1 1
016bc723c3ceedb78e27ebfe7032498e,14 1.0 0 0 1 1
0171021638f9272a34a41feb84ed47a0,11 0.5447863 2426 844 2847 1264 11 0.50207555 648 1173 890 1404 11 0.4724224 2287 1624 2841 1946 11 0.46252638 618 2004 856 2235
019df578e38053e614d483f7fb347b26,11 0.52093583 1632 2391 2024 2544 11 0.51428926 859 2426 1274 2571 11 0.49430728 1731 2600 2157 2748
01ded16689539deb30d0981fafd18465,14 1.0 0 0 1 1
01eb30a37b6f5fed8a8d3ab2d1c0a7d6,14 1.0 0 0 1 1
01f8f17dba6c5e67ba5bcf30ce70ea3f,11 0.516976 1108 2509 1607 2649
02199417ff2a400cff64249f0399f0d7,14 1.0 0 0 1 1
022a62478444fedf2dea1ba91aafdc48,14 1.0 0 0 1 1
02425334e92510da663eb913ad0632ea,11 0.4807665 570 2188 1131 2498
024e693014e70d448f650267bed661ae,14 1.0 0 0 1 1
0271d381c3e88527721efcfaf518be71,11 0.54553264 151 2265 614 2555 11 0.5111227 302 1557 496 1794 11 0.49090764 302 1994 496 2233 11 0.46571726 280 1265 471 1495
0291515f5d14c34180a15712a55bf7bd,14 1.0 0 0 1 1
02b0ad6e22487b7e3f08093c42444b0f,14 1.0 0 0 1 1
02d04b6b6883fd92c12a3dde5d2ff6c0,14 1.0 0 0 1 1
034814210bf2105ecb3e7ed6876f43e9,11 0.49125376 328 1705 489 1904
034b98d64dc012298afb3d33fe880193,14 1.0 0 0 1 1
037503b94eb68a16587a78bce365e681,14 1.0 0 0 1 1
037dc0be7504c7d1c5ff967f4a0a491a,11 0.55189973 2286 2370 2854 2681 11 0.49812758 377 2033 603 2262 11 0.46959504 469 1116 694 1345
0386d9b8234215dc50eb1f66eb206d85,14 1.0 0 0 1 1
038f69f3cf0aaa00c9d7337be434f316,11 0.5194724 260 1701 442 1918
03a2e400656f58841beb7f62584ee3e9,14 1.0 0 0 1 1
03a395d9fc03a6f8c5a50e693c20ab15,14 1.0 0 0 1 1
03aca410943c7f131b16572f03ee2cf6,11 0.5347324 222 1789 400 1991
03b796fd180662c4e579a4b8894486a9,14 1.0 0 0 1 1
03caacd475acb947a2f11d1a0d76a971,14 1.0 0 0 1 1
03da4593b25a2e0095170197050cb551,11 0.5954064 2299 705 2835 1026 11 0.5716276 470 1945 696 2166 11 0.566854 399 338 980 649 11 0.5630288 405 993 638 1222 11 0.55846775 2286 1140 2742 1316 11 0.551918 415 1512 882 1687 11 0.54306114 2147 442 2582 607 11 0.5343365 2103 2000 2693 2312 11 0.5145812 1474 302 2123 582 11 0.48874238 430 1752 858 1940 11 0.46252874 943 1830 1404 1988
03ea976a276b66285825246525357949,14 1.0 0 0 1 1
03f00327702f48c4b6726a0e1649a157,14 1.0 0 0 1 1
03f4ef7ff19190f220b13c0059ac506b,11 0.4766457 265 1601 426 1800
03f9ce3f34a38cf5c6411acd8fd4c5ff,14 1.0 0 0 1 1
0403dda5a9bf46457517b604869d530d,11 0.5320678 2172 1503 2739 1828 11 0.5051752 533 1240 761 1461 11 0.49120975 1333 901 1889 1203 11 0.48418033 2309 1051 2539 1280 11 0.4782025 342 769 934 1078 11 0.45812893 2094 2348 2330 2578 11 0.45741466 643 2417 1147 2560
041c40e3f03d9af32b594c5186575a61,14 1.0 0 0 1 1
043111cdad4d26204503d3396876046f,11 0.5731054 2122 946 2650 1279 11 0.56980395 838 1299 1065 1521 11 0.569728 1935 2056 2467 2392 11 0.56644094 1586 486 2044 631 11 0.5624951 2181 2489 2692 2800 11 0.56193304 1618 636 2067 786 11 0.5587515 833 1761 1063 1984 11 0.54110146 1927 1459 2489 1762 11 0.5242911 1386 905 2024 1193 11 0.5164372 921 2356 1414 2501 11 0.50033736 946 2202 1385 2353 11 0.49112582 764 1536 1206 1722 11 0.49017677 1897 1796 2334 1962 11 0.45538875 1470 1602 1858 1999
045a16fa7dd72c16b7b7d44ff10be428,11 0.45475143 873 2450 1236 2594
0461006c3061e71f2cf28da9565d7288,14 1.0 0 0 1 1
04669ec4821d2dde14eb2f9a3f47eb7e,14 1.0 0 0 1 1
047815a469503dfe21da4a12e2514a15,14 1.0 0 0 1 1
048ce999447fbb6a58ea17fac775288b,11 0.5351222 321 1388 522 1607 11 0.52059466 1545 2295 2046 2566 11 0.48731923 1198 567 1406 791
0493431e2beef20230dfc2837e95fe7b,11 0.59976774 1336 2527 1836 2826 11 0.57139426 313 1572 530 1811 11 0.53691065 288 1931 502 2169 11 0.51655686 819 2476 1318 2753 11 0.49344897 1478 2283 1697 2521
0493df0059bd251e6dbb0dc71f5c5b45,14 1.0 0 0 1 1
04b68e83e611caf345b0a1dc9c65ec88,11 0.5376461 2292 1438 2849 1761 11 0.50383645 1909 2655 2379 2810 11 0.47033873 2214 1109 2461 1346
04b700c4815f088728db9f093c739707,14 1.0 0 0 1 1
04c6efbd31a676bb888a4f5bf53d03c1,14 1.0 0 0 1 1
04cc236166c1ff638ff6200f2f2a397d,14 1.0 0 0 1 1
04da0054eed9aa1c8b95ade5e6c16a00,11 0.49748382 1606 2403 2032 2700
051b1b1edcbaa44059c7b3edbe70c3b8,14 1.0 0 0 1 1
0538230ced64be2db111ff5d07624db1,14 1.0 0 0 1 1
056815f22ac3de9b9eb6fb963d4cfa5a,11 0.60244507 548 2739 1062 2914 11 0.5585873 1709 1191 1999 1467 11 0.5479233 2680 1604 2970 1876 11 0.521697 1296 2805 1770 2986 11 0.5033821 618 2374 1038 2604 11 0.474545 787 1670 1074 1945 11 0.47147432 1809 2496 2389 2851
05711a72a0819422965daa93f30b6f75,14 1.0 0 0 1 1
057afd48abd153972bb91397b71b66b8,14 1.0 0 0 1 1
05857909cbf214a6cbdef5306e18d48e,14 1.0 0 0 1 1
059ad332961631d8d2f4ab468a7e42d3,14 1.0 0 0 1 1
05a548fd37b6e44ab97a48dabee57c21,11 0.47682616 1408 2739 1823 2897 11 0.460712 337 1388 552 1647
05a7460866e0d128b5db471431675483,11 0.5746965 279 2257 779 2526 11 0.54685956 2265 2272 2455 2492 11 0.51710135 1725 2327 2066 2489
05dbd765ff84cbb24759b0c135ba4447,14 1.0 0 0 1 1
05e951c63e80999f13e6e09e7ec8439a,14 1.0 0 0 1 1
05fd4bbf127858eb83ae01cd454d3e2a,11 0.45469654 1176 2451 1540 2590
065473884bfa339d2e464e5394d56fd6,14 1.0 0 0 1 1
069198879ff8140bab6c47c58242a0a4,14 1.0 0 0 1 1
0713502741102f3e494fb39bbd9f9571,11 0.4529757 292 2062 480 2299
071e3d1deecabb75178035e8dbad8b4d,14 1.0 0 0 1 1
07229c769cb2c284c1114c6fe7ed3dd6,14 1.0 0 0 1 1
07304e029b89fc007bd64b7c9bb52979,11 0.56248575 191 2402 697 2729 11 0.5080257 1657 2461 2142 2794 11 0.47651866 1418 960 1645 1212
074e3cceb0c1677a1ad0dbff31167d7d,14 1.0 0 0 1 1
0764ce517782604a7b81bb6e17c798e9,14 1.0 0 0 1 1
0792bb20718b8006f78094ae449c3c96,14 1.0 0 0 1 1
0799063103aea263344a77adbde5b7ca,14 1.0 0 0 1 1
079de341c7b3804c37114b8da3011b45,14 1.0 0 0 1 1
07c1810b7cb0d7ef900ab2b0007784cf,14 1.0 0 0 1 1
07cdcea9a6c3049d7a02ade9c680d4d7,14 1.0 0 0 1 1
07dcda506753ae678e2cc937f1f8ddf2,11 0.46042135 1006 1876 1364 2117
07ea0f8d7b7f1fb150c5afb04dc26c9a,14 1.0 0 0 1 1
07ee04ca7bb66d99ae283ded05f1af76,14 1.0 0 0 1 1
07ee5d541dcbf1131f0b84aee73d7705,14 1.0 0 0 1 1
07fecb6f57a3d452c4764b1013740141,14 1.0 0 0 1 1
080fd678b461536e6e1b5d9b17093cdb,14 1.0 0 0 1 1
08504fa0ea409654d6328e51de2fb3b9,14 1.0 0 0 1 1
08534e46be27043b31a2b648d7c62350,14 1.0 0 0 1 1
08807797eff7d24d76e4817a3a38477e,11 0.5211056 271 1499 507 1734 11 0.4974643 1382 2316 1957 2618
08cad5510452011e9c519bbbc9741fda,14 1.0 0 0 1 1
08d6125cda5ffceb8f235c96179a7061,11 0.45182583 368 1915 855 2182
