image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,11 0.4425672 209 2047 661 2303 11 0.43075642 698 2187 1087 2304 11 0.34337088 954 715 1195 1200 11 0.34230536 1364 2212 1731 2331 11 0.33297363 1424 1083 1621 1290 11 0.28505793 710 2025 1030 2160 11 0.27875343 1105 1394 1283 1596 11 0.14658114 1345 2026 1701 2159 11 0.14620356 1124 1635 1266 1929 11 0.11141467 885 1680 1086 1886 11 0.08360498 1431 1756 1619 1967
004f33259ee4aef671c2b95d54e4be68,11 0.18620907 420 1750 679 2325 11 0.13885644 954 2262 1353 2401 11 0.078847446 1268 1153 1607 1330 11 0.050016746 1477 1729 1796 1910
008bdde2af2462e86fd373a445d0f4cd,11 0.13609447 1345 2208 1709 2342 11 0.12108465 1031 807 1274 1311 11 0.12095404 529 1595 763 2134 11 0.08698351 1731 2035 2097 2347 11 0.08633761 1675 1612 1866 1846 11 0.07466432 1441 1181 1738 1351 11 0.059174556 803 1327 991 1561 11 0.05773941 853 1855 1179 2004
009bc039326338823ca3aa84381f17f1,11 0.15838641 1613 1828 1774 2026 0 0.14595611 895 1391 1092 1831
00a2145de1886cb9eb88869c85d74080,11 0.19312312 1251 1868 1575 1982 11 0.15631308 1258 1698 1565 1820 11 0.10313397 240 1282 401 1470 11 0.0651012 219 1766 512 1891 13 0.06399961 1252 1229 1433 1422 11 0.062028285 1206 1501 1488 1630 11 0.06117655 870 1871 1215 1983
00b7e6bfa4dc1fe9ddd0ce74743e38c2,11 0.5079812 1989 2371 2562 2675 11 0.47936803 753 2202 994 2431 11 0.4504409 1462 2532 1898 2687 11 0.44833103 752 1359 980 1586 11 0.4426274 2144 2080 2348 2303 11 0.41689065 715 1741 963 1985 11 0.35288304 1373 988 1623 1237 11 0.33736035 1050 2230 1289 2462 11 0.31517303 1725 1998 1822 2055 11 0.31274772 1646 2226 1886 2464 11 0.30746973 588 1988 973 2157 11 0.29884392 631 974 1129 1305 11 0.2979096 1178 1774 1583 1948 11 0.28067166 1381 1975 1614 2218 11 0.23352979 1394 1444 1781 1614 11 0.19647661 1725 2116 1817 2173
011295e0bcdc7636569ab73bfdcc4450,11 0.3695758 808 1914 1155 2021 11 0.118563965 1014 1611 1139 1878 11 0.101614475 318 1777 478 1972 11 0.09674917 411 1164 581 1364 11 0.09580307 1255 1363 1416 1561 11 0.065817416 1060 1096 1332 1234 11 0.06159819 1431 532 1592 733 11 0.053640384 1016 534 1181 731
013c169f9dad6f1f6485da961b9f7bf2,11 0.62806493 350 2163 548 2378 11 0.53273237 1166 2448 1496 2596 11 0.5316479 332 2442 510 2658 11 0.5178297 1177 2266 1480 2438 11 0.51359904 994 1025 1288 1191 11 0.5067416 1175 2014 1484 2184 11 0.4699492 881 1874 1080 2099 11 0.4684183 959 2331 1150 2559 11 0.46629792 1097 1709 1145 1788 11 0.45868644 1230 1502 1428 1730 11 0.4551796 2129 2650 2335 2836 11 0.44798625 0 2648 163 2835 11 0.42913845 1156 1666 1203 1748 11 0.4114252 1127 800 1233 933
01431a2618c0ace741e4e270a37e20b9,11 0.21979332 1339 2349 1692 2489 11 0.14113809 987 2177 1320 2317 11 0.08505948 643 1205 925 1386 11 0.06345389 1227 1942 1311 2002 11 0.05894271 637 1639 833 1874 11 0.05540123 1630 1608 1916 1792
0168eb925aa6f28a78b16134792f5d0e,11 0.31071758 785 2225 1139 2365 11 0.21844411 1186 764 1603 1064 11 0.21752776 1144 1361 1332 1587 11 0.18059362 167 1900 599 2192 11 0.1561923 1543 1881 1860 2037 11 0.09447784 1258 384 1593 528 11 0.088590465 1335 2162 1658 2315 11 0.07522203 1347 1270 1546 1505 11 0.057379264 310 2200 677 2334 11 0.0566666 1367 539 1669 712
016bc723c3ceedb78e27ebfe7032498e,11 0.12667929 615 673 959 908 11 0.12300687 184 2041 337 2236 11 0.09778456 897 1816 1226 1925 11 0.07424459 337 1388 498 1583
0171021638f9272a34a41feb84ed47a0,11 0.5447863 2426 844 2847 1264 11 0.50207555 648 1173 890 1404 11 0.4724224 2287 1624 2841 1946 11 0.46252638 618 2004 856 2235 11 0.44237217 2278 586 2686 772 11 0.43670973 472 759 1040 1083 11 0.41328347 2049 1400 2502 1555 11 0.39943564 814 1526 1361 1824 11 0.34415236 2042 2074 2486 2238 11 0.26054764 1391 1644 2010 1940 11 0.118148394 895 1832 1320 1988
019df578e38053e614d483f7fb347b26,11 0.52093583 1632 2391 2024 2544 11 0.51428926 859 2426 1274 2571 11 0.49430728 1731 2600 2157 2748 11 0.44717288 2201 1592 2408 1822 11 0.3234719 1178 587 1417 828 11 0.25567776 1594 1847 1956 2036 11 0.24297771 1005 1964 1359 2152 11 0.2056215 1112 1685 1465 1853 11 0.20054238 1351 2272 1572 2507 11 0.17564076 1560 1582 1815 1829 11 0.16953573 1242 416 1623 583 11 0.12008122 877 2213 1258 2378
01ded16689539deb30d0981fafd18465,11 0.2892311 755 2004 1149 2243 11 0.18885885 1166 1138 1351 1337 11 0.17738101 1239 1594 1402 1795 11 0.12483875 1172 1980 1527 2106 11 0.09244802 585 1432 950 1713 11 0.08959399 1082 1402 1134 1446 11 0.081651084 996 1390 1049 1434 13 0.07447241 1245 1401 1293 1447 11 0.071940795 1405 1460 1581 1663 13 0.0574406 1188 1401 1237 1447
