image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 1 0 0 1 1
004f33259ee4aef671c2b95d54e4be68,0 0.0010 1010 555 1555 1114
008bdde2af2462e86fd373a445d0f4cd,0 0.4856 1428 818 1741 1192 3 0.3048 1088 1421 1943 1806 2 0.0415 1611 869 1689 987 0 0.0147 1160 805 1754 1413 2 0.0102 1550 846 1712 1049 13 0.0018 2000 1409 2110 1451
009bc039326338823ca3aa84381f17f1,14 1 0 0 1 1
00a2145de1886cb9eb88869c85d74080,3 0.3757 777 1281 1867 1654 0 0.1157 1113 709 1356 944 2 0.0281 1306 757 1346 833 13 0.0153 529 1271 780 1417 2 0.0030 1280 743 1343 858 11 0.0022 1483 395 1624 514
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.6771 1112 1443 2077 1979 0 0.5171 1325 837 1659 1149 8 0.1617 1130 565 1388 1038 0 0.0810 1126 674 1398 1203 5 0.0663 790 1472 1124 1818 2 0.0607 1326 837 1662 1144 5 0.0586 684 932 1179 1834 8 0.0460 1235 519 1506 823 0 0.0335 1260 825 1709 1642 1 0.0305 834 1453 1145 1798 2 0.0280 1539 958 1644 1081 5 0.0279 815 917 996 1059 7 0.0236 830 1477 1131 1799 1 0.0233 1124 629 1340 1240 7 0.0166 1126 576 1363 1145 9 0.0163 1118 578 1353 1202 8 0.0142 814 914 999 1057 13 0.0127 785 1385 966 1511 5 0.0097 1728 921 2144 1679 4 0.0087 826 1476 1133 1795 7 0.0062 1004 457 1303 673 0 0.0055 1447 1063 1687 1365 7 0.0051 820 912 995 1065 0 0.0048 1262 624 1939 2302 3 0.0041 814 1476 1142 1769 2 0.0040 1477 891 1643 1104 1 0.0029 1092 1371 1245 1593 9 0.0028 1177 717 1669 2033 11 0.0026 1494 553 1757 647 5 0.0026 758 1350 1013 1541 3 0.0025 1136 873 2080 2235 7 0.0024 1450 539 1757 832 7 0.0023 1209 524 1470 861 7 0.0023 1271 503 1634 747 5 0.0020 823 843 1060 1122 13 0.0019 732 1297 1001 1605 0 0.0018 1089 738 1409 1810 5 0.0015 1678 708 1921 899 8 0.0015 1312 96 1485 427 8 0.0012 1502 1095 1672 1294 7 0.0012 1107 509 1321 802 7 0.0012 1684 700 1910 893 2 0.0012 1371 873 1514 1037 9 0.0011 1154 500 1376 861 8 0.0010 1371 448 1476 556
011295e0bcdc7636569ab73bfdcc4450,14 1 0 0 1 1
013c169f9dad6f1f6485da961b9f7bf2,9 0.1035 335 907 514 1140 5 0.0974 1196 325 1972 2149 7 0.0449 552 440 956 1097 6 0.0441 508 466 970 1142 8 0.0385 572 470 941 1057 4 0.0372 459 397 990 1134 13 0.0289 516 538 953 1224 5 0.0283 260 319 1027 2161 9 0.0216 352 991 487 1115 7 0.0196 249 239 1033 2006 8 0.0141 335 905 520 1143 0 0.0113 1154 692 1420 1018 10 0.0110 239 1739 735 2146 9 0.0107 519 364 1904 2176 12 0.0097 245 321 1009 1953 9 0.0095 3 175 239 1641 6 0.0095 250 249 1040 1966 4 0.0095 0 113 280 1296 8 0.0087 322 251 1007 1440 9 0.0068 1813 843 1966 975 9 0.0063 1293 118 2274 2103 8 0.0057 0 204 237 1232 9 0.0054 270 553 809 1341 0 0.0046 4 271 177 695 3 0.0043 139 1802 2199 2836 9 0.0042 2009 833 2322 2836 7 0.0040 1177 130 2174 2085 9 0.0035 232 1700 878 2808 9 0.0032 189 216 1006 2199 9 0.0031 863 1416 1347 2826 10 0.0031 1713 1742 2012 2160 1 0.0025 0 0 488 1268 7 0.0024 606 603 780 963 7 0.0023 0 0 501 1287 4 0.0023 1140 0 2288 2063 9 0.0020 257 1825 501 2074 9 0.0020 1626 257 1811 362 9 0.0019 328 783 691 1146 9 0.0018 1916 567 2272 875 9 0.0018 123 1686 2176 2836 1 0.0018 1156 0 2336 2237 8 0.0015 447 1282 700 1703 9 0.0015 1247 1728 1968 2151 9 0.0014 1799 473 2294 1069 8 0.0013 501 1409 636 1586 9 0.0013 2 235 191 703 9 0.0013 839 728 1455 2196 12 0.0013 1190 0 2297 2193 13 0.0012 1172 426 1863 2066 11 0.0012 0 0 787 1265 13 0.0011 301 285 1001 1902 8 0.0011 276 739 917 2190 12 0.0011 1272 299 1941 1185 10 0.0011 77 1658 631 2392 11 0.0011 1325 1730 1993 2168
01431a2618c0ace741e4e270a37e20b9,3 0.4430 1053 1451 2065 1783 0 0.1309 1375 810 1652 1108 0 0.0194 1158 807 1649 1317 13 0.0012 1010 545 1082 669
0168eb925aa6f28a78b16134792f5d0e,14 1 0 0 1 1
